slug,provider,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType
banxa,!provider:banxa,"[""[Docs](https://docs.banxa.com/docs/available-cryptocurrencies-and-blockchains)""]",,,,,,
meld,!provider:meld,"[""[Docs](https://www.meld.io/coverage/cryptocurrencies?cryptoCurrencies=ZEC)""]",,,,,,
