slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
tatum-business-full-archive,Tatum,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/)""]",,Enterprise,Archive,RPC,EVM JSON-RPC,Custom,Custom,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Calls"",""Custom Rate Limits"",""30-day notification history"",""Up to 1K req/s""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",null,
tatum-business-recent-state,Tatum,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/)""]",,Enterprise,Pruned,RPC,EVM JSON-RPC,Custom,Custom,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Calls"",""Custom Rate Limits"",""30-day notification history"",""Up to 1K req/s""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",null,
tatum-free-recent-state,Tatum,"[""[Website](https://tatum.io/)"",""[Docs](https://docs.tatum.io/reference/rpc-zcash)""]",,Free,Pruned,RPC,EVM JSON-RPC,$0,$0,NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""2 API Keys"",""100K lifetime credits"",""3 RPS"",""1-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities""]","[""Global""]",null,
tatum-starter-1-full-archive,Tatum,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/)""]",Starter,Tiered,Archive,RPC,EVM JSON-RPC,"$49/mo, $29/mo;yearly, $25/mo; 2 years","$0.000009/extra credit, $9/1M extra credits",NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Keys"",""4M credits/mo"",""200 RPS"",""7-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",null,
tatum-starter-2-full-archive,Tatum,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/)""]",Starter,Tiered,Archive,RPC,EVM JSON-RPC,"$79/mo, $49/mo;yearly, $39/mo; 2 years","$0.000009/extra credit, $9/1M extra credits",NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Keys"",""7M credits/mo"",""200 RPS"",""7-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",null,
tatum-pro-1-full-archive,Tatum,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/)""]",Pro,Tiered,Archive,RPC,EVM JSON-RPC,"$99/mo, $59/mo; yearly, $49/mo; 2 years","$0.000009/extra credit, $9/1M extra credits",NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Keys"",""10M credits/mo"",""200 RPS"",""7-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",,
tatum-pro-2-full-archive,Tatum,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/)""]",Pro,Tiered,Archive,RPC,EVM JSON-RPC,"$139/mo, $79/mo; yearly, $69/mo; 2 years","$0.000009/extra credit, $9/1M extra credits",NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Keys"",""15M credits/mo"",""200 RPS"",""7-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",,
tatum-scale-full-archive,Tatum,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/)""]",Scale,Tiered,Archive,RPC,EVM JSON-RPC,"$179/mo, $99/mo; yearly, $89/mo; 2 years","$0.000009/extra credit, $9/1M extra credits",NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Keys"",""20M credits/mo"",""200 RPS"",""7-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",,
tatum-starter-1-recent-state,Tatum,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/)""]",Starter,Tiered,Pruned,RPC,EVM JSON-RPC,"$49/mo, $29/mo;yearly, $25/mo; 2 years","$0.000009/extra credit, $9/1M extra credits",NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Keys"",""4M credits/mo"",""200 RPS"",""7-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",null,
tatum-starter-2-recent-state,Tatum,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/)""]",Starter,Tiered,Pruned,RPC,EVM JSON-RPC,"$79/mo, $49/mo;yearly, $39/mo; 2 years","$0.000009/extra credit, $9/1M extra credits",NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Keys"",""7M credits/mo"",""200 RPS"",""7-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",null,
tatum-pro-1-recent-state,Tatum,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/)""]",Pro,Tiered,Pruned,RPC,EVM JSON-RPC,"$99/mo, $59/mo; yearly, $49/mo; 2 years","$0.000009/extra credit, $9/1M extra credits",NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Keys"",""10M credits/mo"",""200 RPS"",""7-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",,
tatum-pro-2-recent-state,Tatum,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/)""]",Pro,Tiered,Pruned,RPC,EVM JSON-RPC,"$139/mo, $79/mo; yearly, $69/mo; 2 years","$0.000009/extra credit, $9/1M extra credits",NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Keys"",""15M credits/mo"",""200 RPS"",""7-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",,
tatum-scale-recent-state,Tatum,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/)""]",Scale,Tiered,Pruned,RPC,EVM JSON-RPC,"$179/mo, $99/mo; yearly, $89/mo; 2 years","$0.000009/extra credit, $9/1M extra credits",NULL,NULL,NULL,99.99%,NULL,NULL,,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Keys"",""20M credits/mo"",""200 RPS"",""7-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",,
