slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
crypto-apis-mainnet-free-recent-state,!provider:crypto-apis-free-recent-state,"[""[Website](https://cryptoapis.io/blockchains/zcash)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-free-full-archive,!provider:crypto-apis-free-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-starter-recent-state,!provider:crypto-apis-starter-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-starter-full-archive,!provider:crypto-apis-starter-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-scale-recent-state,!provider:crypto-apis-scale-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-scale-full-archive,!provider:crypto-apis-scale-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-pro-recent-state,!provider:crypto-apis-pro-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-pro-full-archive,!provider:crypto-apis-pro-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-enterprise-recent-state,!provider:crypto-apis-enterprise-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-enterprise-full-archive,!provider:crypto-apis-enterprise-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
