slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
arkham,!provider:arkham,"[""[Dashboard](https://intel.arkm.com/explorer/token/zcash)""]",mainnet,,,,,,,
blockworks,!provider:blockworks,"[""[Dashboard](https://blockworks.com/analytics/zcash)""]",mainnet,,,,,,,
cryptoquant,!provider:cryptoquant,"[""[Dashboard](https://cryptoquant.com/asset/zec/summary)""]",mainnet,,,,,,,
defillama,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/zcash)""]",mainnet,,,,,,,
glassnode,!provider:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=ZEC)""]",mainnet,,,,,,,
messari,!provider:messari,"[""[Dashboard](https://messari.io/project/zcash)""]",mainnet,,,,,,,
coinglass,!provider:coinglass,"[""[Dashboard](https://www.coinglass.com/currencies/ZEC)""]",mainnet,,,,,,,
