slug,chainId,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,authenticationMethods,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,blocksBehindSla,bandwidthSla,supportSla,networkSupportBasis
1rpc-mainnet-developer-recent-state,5000,,!offer:1rpc-developer-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
1rpc-mainnet-personal-recent-state,5000,,!offer:1rpc-personal-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
1rpc-mainnet-public-recent-state,5000,,!offer:1rpc-public-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
1rpc-mainnet-starter-recent-state,5000,,!offer:1rpc-starter-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
alchemy-mainnet-free-full-archive,5000,,!offer:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/rpc/mantle)"",""[Docs](https://www.alchemy.com/docs/reference/mantle-api-quickstart)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
alchemy-mainnet-free-recent-state,5000,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/rpc/mantle)"",""[Docs](https://www.alchemy.com/docs/reference/mantle-api-quickstart)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go-full-archive,5000,,!offer:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/mantle-api-quickstart)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go-recent-state,5000,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/mantle-api-quickstart)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
ankr-mainnet-free-full-archive,5000,,!offer:ankr-free-full-archive,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/mantle/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
ankr-mainnet-free-recent-state,5000,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/mantle/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-full-archive,5000,,!offer:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/service-plans/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-recent-state,5000,,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/service-plans/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-business-full-archive,5000,,!offer:chainstack-business-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/mantle-tooling)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-business-recent-state,5000,,!offer:chainstack-business-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/mantle-tooling)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-developer-recent-state,5000,,!offer:chainstack-developer-recent-state,"[""[Website](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/mantle-tooling)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-full-archive,5000,,!offer:chainstack-growth-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/mantle-tooling)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-recent-state,5000,,!offer:chainstack-growth-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/mantle-tooling)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-pro-full-archive,5000,,!offer:chainstack-pro-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/mantle-tooling)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-pro-recent-state,5000,,!offer:chainstack-pro-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/mantle-tooling)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
envio-mainnet-free-indexer,5000,,!offer:envio-free-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/mantle)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
envio-mainnet-pay-as-you-go-indexer,5000,,!offer:envio-pay-as-you-go-indexer,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/mantle)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
getblock-mainnet-advanced-recent-state,5000,,!offer:getblock-advanced-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,5000,,!offer:getblock-dedicated-recent-state,,,,,,,,mainnet,up to $1.2K,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,5000,,!offer:getblock-free-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
getblock-mainnet-pro-recent-state,5000,,!offer:getblock-pro-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
getblock-mainnet-starter-recent-state,5000,,!offer:getblock-starter-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
goldrush-mainnet-free-indexer,5000,,!offer:goldrush-free-indexer,"[""[Website](https://goldrush.dev/chains/mantle/)"",""[Docs](https://goldrush.dev/docs/chains/mantle#mantle)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
goldrush-mainnet-pay-as-you-go-indexer,5000,,!offer:goldrush-pay-as-you-go-indexer,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/mantle#mantle)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
goldsky-mainnet-free-indexer,5000,,!offer:goldsky-free-indexer,"[""[Website](https://goldsky.com/chains/mantle)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
goldsky-mainnet-pay-as-you-go-indexer,5000,,!offer:goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
infura-mainnet-core-full-archive,5000,,!offer:infura-core-full-archive,"[""[Website](https://www.infura.io/networks/ethereum/mantle)"",""[Docs](https://docs.metamask.io/services/reference/mantle/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
infura-mainnet-core-recent-state,5000,,!offer:infura-core-recent-state,"[""[Website](https://www.infura.io/networks/ethereum/mantle)"",""[Docs](https://docs.metamask.io/services/reference/mantle/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
infura-mainnet-developer-full-archive,5000,,!offer:infura-developer-full-archive,"[""[Buy](https://www.infura.io/pricing)"",""[Docs](https://docs.metamask.io/services/reference/mantle/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
infura-mainnet-developer-recent-state,5000,,!offer:infura-developer-recent-state,"[""[Buy](https://www.infura.io/pricing)"",""[Docs](https://docs.metamask.io/services/reference/mantle/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
infura-mainnet-team-full-archive,5000,,!offer:infura-team-full-archive,"[""[Buy](https://www.infura.io/pricing)"",""[Docs](https://docs.metamask.io/services/reference/mantle/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
infura-mainnet-team-recent-state,5000,,!offer:infura-team-recent-state,"[""[Buy](https://www.infura.io/pricing)"",""[Docs](https://docs.metamask.io/services/reference/mantle/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
quicknode-mainnet-accelerate-full-archive,5000,,!offer:quicknode-accelerate-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
quicknode-mainnet-accelerate-recent-state,5000,,!offer:quicknode-accelerate-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
quicknode-mainnet-build-full-archive,5000,,!offer:quicknode-build-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
quicknode-mainnet-build-recent-state,5000,,!offer:quicknode-build-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
quicknode-mainnet-business-full-archive,5000,,!offer:quicknode-business-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
quicknode-mainnet-business-recent-state,5000,,!offer:quicknode-business-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-full-archive,5000,,!offer:quicknode-scale-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-recent-state,5000,,!offer:quicknode-scale-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
