slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mantle,,!offer:api3,"[""[Website](https://market.api3.org/mantle)""]",mainnet,,,,,,,,,,,,
chainlink-mantle,,!offer:chainlink,"[""[Website](https://docs.chain.link/ccip/directory/mainnet/chain/ethereum-mainnet-mantle-1)""]",mainnet,,,,,,,,,,,,
chronicle-mantle,,!offer:chronicle,"[""[USDT/USD](https://chroniclelabs.org/dashboard/oracle/USDT/USD#blockchain=MANTLE)""]",mainnet,,,,,,,,,,,,
pyth-mantle,,!offer:pyth,"[""[Docs](https://docs.pyth.network)""]",mainnet,,,,,,,,,,,,
redstone-mantle,,!offer:redstone,"[""[Docs](https://docs.redstone.finance)""]",mainnet,,,,,,,,,,,,
