slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
algorand-dispenser-algo,,!offer:algorand-dispenser-algo,,testnet,,,,,,,,,
algorand-dispenser-usdc,,!offer:algorand-dispenser-usdc,,testnet,,,,,,,,,
astar-faucet,,!offer:astar-faucet,,testnet,,,,,,,,,
automata-faucet,,!offer:automata-faucet,,testnet,,,,,,,,,
chainstack-faucet,,!offer:chainstack-faucet,,testnet,,,,,,,,,
circle-faucet-eurc,,!offer:circle-faucet-eurc,,testnet,,,,,,,,,
circle-faucet-usdc,,!offer:circle-faucet-usdc,,testnet,,,,,,,,,
core-faucet,,!offer:core-faucet,,testnet,,,,,,,,,
ethglobal-faucet,,!offer:ethglobal-faucet,,testnet,,,,,,,,,
ghost-faucet,,!offer:ghost-faucet,,testnet,,,,,,,,,
google-cloud-faucet,,!offer:google-cloud-faucet,,testnet,,,,,,,,,
infura-faucet,,!offer:infura-faucet,,testnet,,,,,,,,,
learnweb3-faucet,,!offer:learnweb3-faucet,,testnet,,,,,,,,,
nebulum-faucet,,!offer:nebulum-faucet,,testnet,,,,,,,,,
optimism-superchain-faucet,,!offer:optimism-superchain-faucet,,testnet,,,,,,,,,
pk910-faucet,,!offer:pk910-faucet,,testnet,,,,,,,,,
plume-faucet,,!offer:plume-faucet,,testnet,,,,,,,,,
rockx-faucet,,!offer:rockx-faucet,,testnet,,,,,,,,,
ronin-faucet,,!offer:ronin-faucet,,testnet,,,,,,,,,
somnia-faucet,,!offer:somnia-faucet,,testnet,,,,,,,,,
stakely-faucet,,!offer:stakely-faucet,,testnet,,,,,,,,,
starknet-foundation-faucet,,!offer:starknet-foundation-faucet,,testnet,,,,,,,,,
tatum-faucet,,!offer:tatum-faucet,,testnet,,,,,,,,,
thirdweb-faucet,,!offer:thirdweb-faucet,,testnet,,,,,,,,,
tron-nile-faucet,,!offer:tron-nile-faucet,,testnet,,,,,,,,,
tron-shasta-faucet,,!offer:tron-shasta-faucet,,testnet,,,,,,,,,
