slug,provider,offer,actionButtons,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag,chain
mintscan-mainnet,,!offer:mintscan,"[""[Explore](https://www.mintscan.io/babylon)"",""[Docs](https://docs.babylonlabs.io/developers/babylon_genesis_chain/explorers/)""]",,,,,,,,,,,,mainnet
xangle-mainnet,,!offer:xangle,"[""[Explore](https://babylon-explorer.xangle.io/mainnet/home)"",""[Docs](https://docs.babylonlabs.io/developers/babylon_genesis_chain/explorers/)""]",,,,,,,,,,,,mainnet
