slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
hoodscan-testnet,,!offer:hoodscan-faucet,"[""[Faucet](https://faucet.hoodscan.io/)"",""[Docs](https://docs.babylonlabs.io/developers/babylon_genesis_chain/baby_faucets/)""]",testnet,,,,,,,,,
it-rocket-testnet,,!offer:it-rocket-faucet,"[""[Faucet](https://testnet.itrocket.net/babylon/faucet/)"",""[Docs](https://docs.babylonlabs.io/developers/babylon_genesis_chain/baby_faucets/)""]",testnet,,,,,,,0.02 tBABY,24h,
xangle-testnet,,!offer:xangle-faucet,"[""[Faucet](https://babylon-explorer.xangle.io/testnet/faucet)"",""[Docs](https://docs.babylonlabs.io/developers/babylon_genesis_chain/baby_faucets/)""]",testnet,,,,,,,0.1 tBABY,24h,
