slug,provider,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing
arbiscan-nova,!provider:arbiscan,"[""[Explorer](https://nova.arbiscan.io/)""]",nova,Etherscan,"[""Transactions"",""Address Activity"",""Token transfers"",""Blocks""]","[""VMTrace"",""Verified Contracts"",""API Access""]",FALSE,"[""REST API""]",,"[""Search"",""Filter"",""Label Cloud""]",TRUE,TRUE,Free
arbiscan-one,!provider:arbiscan,"[""[Explorer](https://arbiscan.io/)""]",one,Etherscan,"[""Transactions"",""Address Activity"",""Token transfers"",""Blocks""]","[""VMTrace"",""Verified Contracts"",""API Access""]",FALSE,"[""REST API""]",,"[""Search"",""Filter"",""Label Cloud""]",TRUE,TRUE,Free
arbiscan-sepolia,!provider:arbiscan,"[""[Explorer](https://sepolia.arbiscan.io/)""]",sepolia,Etherscan,"[""Transactions"",""Address Activity"",""Token transfers"",""Blocks""]","[""VMTrace"",""Verified Contracts"",""API Access""]",FALSE,"[""REST API""]",,"[""Search"",""Filter"",""Label Cloud""]",TRUE,TRUE,Free
blockscout-nova,!provider:blockscout,"[""[Explorer](https://arbitrum-nova.blockscout.com/)""]",nova,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Logs"",""Events""]","[""Token Tracker"", ""Network Metrics"",""NFT Tracking""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API"", ""Eth RPC API"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token"",""Message ID"",""Height""]",TRUE,TRUE,Free
blockscout-one,!provider:blockscout,"[""[Explorer](https://arbitrum.blockscout.com/)""]",one,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Logs"",""Events""]","[""Token Tracker"", ""Network Metrics"",""NFT Tracking""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API"", ""Eth RPC API"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token"",""Message ID"",""Height""]",TRUE,TRUE,Free
blockscout-sepolia,!provider:blockscout,"[""[Explorer](https://arbitrum-sepolia.blockscout.com/)""]",nova,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Logs"",""Events""]","[""Token Tracker"", ""Network Metrics"",""NFT Tracking""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API"", ""Eth RPC API"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token"",""Message ID"",""Height""]",TRUE,TRUE,Free
dex-guru-explorer-one,!provider:dex-guru,"[""[Explorer](https://arbitrum.dex.guru/)""]",one,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]",,FALSE,,,"[""Address"",""Transaction Hash"",""Block""]",TRUE,FALSE,Free
oklink-one,!provider:oklink,"[""[Explorer](https://www.oklink.com/arbitrum-one)""]",one,Custom,"[""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Accounts"",""Token transfers"",""Address Activity""]","[""Token Tracker"",""Smart Contract Verification"",""Address Labels"",""Address Monitoring"",""APIs"",""Network Overview"",""Price Charts"",""Amoy Contract Verification""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API""]","[""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
okxscan-one,!provider:okx,"[""[Explorer](https://web3.okx.com/explorer/arbitrum-one)""]",one,Custom,"[""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""Smart Contract Verification"",""Label System""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free
tenderly-explorer-nova,!provider:tenderly-explorer,"[""[Explorer](https://dashboard.tenderly.co/explorer/arbitrum-nova)""]",nova,Custom,"[""Accounts"",""Transactions"",""Blocks"",""Contracts"",""Gas""]","[""Virtual TestNet Creation"",""Smart Contract Debugging"",""Gas Optimization"",""Transaction Trace""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction"",""Block"",""Token"",""Contract""]",TRUE,TRUE,"Free/$50/$500/mo, $45/$450/yearly"
tenderly-explorer-one,!provider:tenderly-explorer,"[""[Explorer](https://dashboard.tenderly.co/explorer/arbitrum)""]",one,Custom,"[""Accounts"",""Transactions"",""Blocks"",""Contracts"",""Gas""]","[""Virtual TestNet Creation"",""Smart Contract Debugging"",""Gas Optimization"",""Transaction Trace""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction"",""Block"",""Token"",""Contract""]",TRUE,TRUE,"Free/$50/$500/mo, $45/$450/yearly"
tenderly-explorer-sepolia,!provider:tenderly-explorer,"[""[Explorer](https://dashboard.tenderly.co/explorer/arbitrum-sepolia)""]",sepolia,Custom,"[""Accounts"",""Transactions"",""Blocks"",""Contracts"",""Gas""]","[""Virtual TestNet Creation"",""Smart Contract Debugging"",""Gas Optimization"",""Transaction Trace""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction"",""Block"",""Token"",""Contract""]",TRUE,TRUE,"Free/$50/$500/mo, $45/$450/yearly"
