slug,provider,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed
transak,!provider:transak,,,,,,
moonpay,!provider:moonpay,,,,,,
ramp-network,!provider:ramp-network,,,,,,
onramper,!provider:onramper,,,,,,
stripe-crypto,!provider:stripe-crypto,,,,,,
banxa,!provider:banxa,,,,,,
mercuryo,!provider:mercuryo,,,,,,
sardine,!provider:sardine,,,,,,
layerswap,!provider:layerswap,,,,,,
meld,!provider:meld,,,,,,
alchemy-pay,!provider: alchemy-pay,,,,,,
simplex,!provider: simplex,,,,,,
guardarian,!provider: guardarian,,,,,,
unlimit,!provider: unlimit,,,,,,
utorg,!provider: utorg,,,,,,
paybis,!provider: paybis,,,,,,
mt-pelerin,!provider: mt-pelerin,,,,,,
coinify,!provider: coinify,,,,,,
c14,!provider: c14,,,,,,
meso,!provider: meso,,,,,,
bitpay,!provider: bitpay,,,,,,
legend-trading,!provider: legend-trading,,,,,,
