slug,provider,perChain,dataSources,hasDashboard,supportsAPI,price,starred,actionButtons
dune-one,Dune,one,"[""Transactions"", ""Gas Usage"", ""Bridge Activity"", ""Active Users"", ""Token Transfers""]",TRUE,TRUE,FREE,FALSE,"[{""label"": ""Dashboard"", ""url"": ""https://dune.com/datawarlock/arbitrum-economics"", ""type"": ""external""}]"
dune-nova,Dune,nova,"[""Transactions"", ""Gas Usage"", ""Smart Contract Activity"", ""Token Transfers""]",TRUE,TRUE,FREE,FALSE,"[{""label"": ""Dashboard"", ""url"": ""https://dune.com/arbitrum/arbitrum-nova"", ""type"": ""external""}]"
intotheblock-one,Into the Block,one,"[""Financial Indicators"", ""Network Indicators"", ""Social Indicators"", ""Derivatives"", ""Holder Concentration""]",TRUE,TRUE,Subscription-based,FALSE,"[{""label"": ""Dashboard"", ""url"": ""https://app.intotheblock.com/coin/ARB"", ""type"": ""external""}]"
messari-one,Messari,one,"[""Network Metrics"", ""TVL & Market Data"", ""On‑chain Usage Metrics""]",TRUE,TRUE,Subscription-based,FALSE,"[{""label"": ""Dashboard"", ""url"": ""https://messari.io/project/arbitrum"", ""type"": ""external""}]"
statuspage,Status Page,one,"[""Uptime""]",TRUE,FALSE,FREE,FALSE,"[{""label"": ""Dashboard"", ""url"": ""https://status.arbitrum.io/"", ""type"": ""external""}]"
