slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
witnet-mainnet,,!offer:witnet,"[""[Supported Chains](https://docs.witnet.io/smart-contracts/supported-chains)""]",mainnet,decentralized,,,,,,,,,,,
supra-mainnet,,!offer:supra,"[""[Networks](https://docs.supra.com/oracles/data-feeds/pull-oracle/networks)""]",mainnet,cross-chain-oracle,,,,,,,,,,,
