slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
pyth-hemi,,!offer:pyth,"[""[Docs](https://docs.hemi.xyz/tooling/oracles)""]",mainnet,,,,,,,,,,,,
redstone-hemi,,!offer:redstone,"[""[Docs](https://docs.hemi.xyz/tooling/oracles)""]",mainnet,,,,,,,,,,,,
