slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
banxa,,!offer:banxa,"[""[Docs](https://docs.banxa.com/products/legacy-api/docs/resources/available-cryptocurrencies-and-blockchains)""]",,,,,,,
moonpay,,!offer:moonpay,"[""[Buy](https://www.moonpay.com/buy/eos)""]",,,,,,,
onramper,,!offer:onramper,"[""[Docs](https://docs.onramper.com/docs/crypto-asset-support)""]",,,,,,,
simplex,,!offer:simplex,"[""[Docs](https://www.simplex.com/kb/what-cryptocurrencies-can-i-buy-with-nuvei-account)""]",,,,,,,
transak,,!offer:transak,"[""[Buy](https://transak.com/buy/eos/united-states-of-america)""]",,,,,,,
