slug,provider,chain,technology,accessPrice,queryPrice,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,actionButtons
chainlink-mainnet,Chainlink,mainnet,Decentralized Oracle Network,0,LINK Fee,TRUE,"[""Price Feed""]","[""Real-time Price Feeds""]","[""Decentralized Data Aggregation"",""Multi-chain Support""]","[""Cryptocurrency Prices"",""NFT Floor Prices"",""Rates and Volatility""]",Decentralized,TRUE,Chainlink-based security,"[""Solidity""]","[""Multiple audits by Chainlink, 2023""]","[{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/tools/oracles/chainlink"",""type"":""external""}]"
chainlink-testnet,Chainlink,testnet,Decentralized Oracle Network,0,0,FALSE,"[""Price Feed""]","[""Real-time Price Feeds""]","[""Decentralized Data Aggregation"",""Multi-chain Support""]","[""Cryptocurrency Prices"",""NFT Floor Prices"",""Rates and Volatility""]",Decentralized,TRUE,Chainlink-based security,"[""Solidity""]","[""Multiple audits by Chainlink, 2023""]","[{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/tools/oracles/chainlink"",""type"":""external""}]"
redstone-mainnet,Redstone,mainnet,Modular Oracle,0,GHO Fee,TRUE,"[""Price Feed"",""Custom Feeds""]","[""Real-time Price Feeds"",""Custom Data Monitoring""]","[""Push and Pull Models"",""Customizable Data Sources""]","[""Cryptocurrency Prices"",""Custom Feeds""]",Decentralized,TRUE,On-chain data source security,"[""Solidity"",""JavaScript""]","[""Audit by PeckShield, 2023""]","[{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/tools/oracles/redstone"",""type"":""external""}]"
redstone-testnet,Redstone,testnet,Modular Oracle,0,0,FALSE,"[""Price Feed"",""Custom Feeds""]","[""Real-time Price Feeds"",""Custom Data Monitoring""]","[""Push and Pull Models"",""Customizable Data Sources""]","[""Cryptocurrency Prices"",""Custom Feeds""]",Decentralized,TRUE,On-chain data source security,"[""Solidity"",""JavaScript""]","[""Audit by PeckShield, 2023""]","[{""label"":""Docs"",""url"":""https://lens.xyz/docs/chain/tools/oracles/redstone"",""type"":""external""}]"
