slug,provider,chain,technology,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,txSpeedSla,throughputSla,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,actionButtons,supportedChains
zksync-mainnet,ZKsync,mainnet,ZK Rollup,FALSE,"[""Discord"",""Email""]",TRUE,"[""Asset Transfer""]","[""Blockscout"",""Custom Dashboards""]","[""ZK Rollup Security"",""Ethereum Security""]","[""GHO"",""ETH"",""USDC"",""USDT""]",null,null,Gas Fee,TRUE,Inherits Ethereum security,"[""Multiple audits by OpenZeppelin, 2023""]",Decentralized,"[""Solidity""]","[""[Bridge](https://bridge.zksync.io/)"", ""[Docs](https://lens.xyz/docs/chain/tools/bridging/zksync)""]",
zksync-testnet,ZKsync,testnet,ZK Rollup,FALSE,"[""Discord"",""Email""]",FALSE,"[""Asset Transfer""]","[""Blockscout"",""Custom Dashboards""]","[""ZK Rollup Security"",""Ethereum Sepolia Security""]","[""GRASS"",""ETH"",""USDC"",""USDT""]",null,null,Gas Fee,TRUE,Inherits Ethereum Sepolia security,"[""Multiple audits by OpenZeppelin, 2023""]",Decentralized,"[""Solidity""]","[""[Bridge](https://bridge.testnet.lens.dev/)"", ""[Docs](https://lens.xyz/docs/chain/tools/bridging/zksync)""]",
across-mainnet,Across,mainnet,Intent-based Cross-chain Messaging,FALSE,"[""Discord"",""Email""]",TRUE,"[""Cross-chain Messaging"",""Asset Transfer""]","[""Custom Dashboards""]","[""Intent-based Bridging"",""Fast Finality""]","[""GHO"",""ETH"",""USDC"",""USDT""]",null,null,Gas Fee,TRUE,Optimistic intent-based security,"[""Audit by Trail of Bits, 2022""]",Decentralized,"[""JavaScript""]","[""[Bridge](https://across.to/)"", ""[Docs](https://lens.xyz/docs/chain/tools/bridging/across)""]",
across-testnet,Across,testnet,Intent-based Cross-chain Messaging,FALSE,"[""Discord"",""Email""]",FALSE,"[""Cross-chain Messaging"",""Asset Transfer""]","[""Custom Dashboards""]","[""Intent-based Bridging"",""Fast Finality""]","[""GRASS"",""ETH"",""USDC"",""USDT""]",null,null,Gas Fee,TRUE,Optimistic intent-based security,"[""Audit by Trail of Bits, 2022""]",Decentralized,"[""JavaScript""]","[""[Bridge](https://across.to/)"", ""[Docs](https://lens.xyz/docs/chain/tools/bridging/across)""]",
lensbridge-mainnet,Lens Bridge,mainnet,Cross-chain Messaging,FALSE,"[""Discord"",""Email""]",TRUE,"[""Cross-chain Messaging"",""Asset Transfer""]","[""Custom Dashboards""]","[""Lens Protocol Integration"",""Fast Bridging""]","[""GHO"",""ETH"",""USDC"",""USDT"",""ERC-20"",""ERC-721""]",null,null,Gas Fee,TRUE,Inherits Lens Network security,"[""Audit by Trail of Bits, 2024""]",Decentralized,"[""Solidity""]","[""[Bridge](https://bridge.lens.xyz/)"", ""[Docs](https://lens.xyz/docs/chain/tools/bridging/lens)""]",
lensbridge-testnet,Lens Bridge,testnet,Cross-chain Messaging,FALSE,"[""Discord"",""Email""]",FALSE,"[""Cross-chain Messaging"",""Asset Transfer""]","[""Custom Dashboards""]","[""Lens Protocol Integration"",""Fast Bridging""]","[""GRASS"",""ETH"",""USDC"",""USDT"",""ERC-20"",""ERC-721""]",null,null,Gas Fee,TRUE,Inherits Lens Network security,"[""Audit by Trail of Bits, 2024""]",Decentralized,"[""Solidity""]","[""[Bridge](https://bridge.testnet.lens.dev/)"", ""[Docs](https://lens.xyz/docs/chain/tools/bridging/lens)""]",
