slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,address
quicknode-mainnet-dedicated,QuickNode,Dedicated,Recent-State,mainnet,null,null,99.99,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",null,null,null,"[""[Buy](https://www.quicknode.com/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/quicknode)""]",
quicknode-testnet-discover,QuickNode,Discover,Recent-State,testnet,0,0,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100K API Credits per day, 3M API Credits per month""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[""[Buy](https://www.quicknode.com/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/quicknode)""]",
quicknode-testnet-build,QuickNode,Build,Recent-State,testnet,49,null,99.9,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""2M API Credits per day, 60M API Credits per month""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://www.quicknode.com/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/quicknode)""]",
quicknode-testnet-scale,QuickNode,Scale,Recent-State,testnet,299,null,99.99,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""10M API Credits per day, 300M API Credits per month""]","[""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",null,null,null,"[""[Buy](https://www.quicknode.com/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/quicknode)""]",
quicknode-testnet-dedicated,QuickNode,Dedicated,Recent-State,testnet,null,null,99.99,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",null,null,null,"[""[Buy](https://www.quicknode.com/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/quicknode)""]",
drpc-mainnet-free,dRPC,Free,Recent-State,mainnet,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[""[Buy](https://drpc.org/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",
drpc-mainnet-premium,dRPC,Premium,Recent-State,mainnet,null,null,null,null,null,FALSE,TRUE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://drpc.org/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",
drpc-testnet-free,dRPC,Free,Recent-State,testnet,0,0,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[""[Buy](https://drpc.org/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",
drpc-testnet-premium,dRPC,Premium,Recent-State,testnet,null,null,null,null,null,FALSE,TRUE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://drpc.org/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/drpc)""]",
tenderly-mainnet-free,Tenderly,Free,Recent-State,mainnet,0,0,null,null,null,TRUE,FALSE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[""[Buy](https://tenderly.co/)"", ""[Docs](https://lens.xyz/docs/chain/tools/rpc/tenderly)""]",
