slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
dia-mainnet,,!offer:dia,"[""[Docs](https://www.diadata.org/blog/post/dia-price-oracles-kadena-mainnet/)""]",mainnet,,,,,,,,,,,,
kadena-info-access-mainnet,,!offer:kadena-info-access,"[""[GitHub](https://github.com/kda-community/kadena-info-access)""]",mainnet,,,,,,,,,,,,
