slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
mt-pelerin,,!offer:mt-pelerin,"[""[Buy](https://www.mtpelerin.com/buy-kadena)""]",,,,,,,
switchere,,!offer:switchere,"[""[Buy](https://switchere.com/exchange/buy-kadena-kda)""]",,,,,,,
transak,,!offer:transak,"[""[Buy](https://transak.com/buy/kadena)""]",,,,,,,
