slug,provider,offer,actionButtons,toolType,tag,price,planName,planType,description,starred
brodex,,!offer:brodex,"[""[Website](https://dex.bro.pink/)""]",,,,,,,
kadena-devs,,!offer:kadena-devs,"[""[Website](https://kadenadevs.kadena.ws/)""]",,,,,,,
kadena-marketplace,,!offer:kadena-marketplace,"[""[Website](https://marketplace.kadena.ws/)""]",,,,,,,
kadena-network-monitor,,!offer:kadena-network-monitor,"[""[Website](https://nodes.kadena.ws/)""]",,,,,,,
marmalade,,!offer:marmalade,"[""[Docs](https://docs.kadena.io/reference/marmalade/marmalade)""]",,,,,,,
