slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
keplr,,!offer:keplr,"[""[Mainnet](https://docs.mantrachain.io/how-to-connect-wallets-to-mainnet)"",""[Setup](https://docs.mantrachain.io/how-to-setup-your-keplr-wallet)""]",,,,,,,,,,,,,,,,,,
metamask,,!offer:metamask,"[""[Testnet](https://docs.mantrachain.io/how-to-connect-wallets-to-testnet)"",""[Move](https://docs.mantrachain.io/how-to-move-mantra-between-the-evm-and-cosmos-vm)""]",,,,,,,,,,,,,,,,,,
rabby,,!offer:rabby,"[""[Move](https://docs.mantrachain.io/how-to-move-mantra-between-the-evm-and-cosmos-vm)""]",,,,,,,,,,,,,,,,,,
safe-gnosis,,!offer:safe-gnosis,"[""[MANTRA Docs](https://docs.mantrachain.io/resources/safe-multisig)"",""[Safe](https://app.safe.protofire.io/welcome)""]",,,,,,,,,,,,,,,,,,
