slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
chainlist,,!offer:chainlist,"[""[MANTRA Mainnet](https://chainlist.org/chain/5888)"",""[Dukong Testnet](https://chainlist.org/chain/5887)""]",,,,,,,
mantra-claimdrop,,!offer:mantra-claimdrop,"[""[MANTRA Docs](https://docs.mantrachain.io/resources/contracts/mantra-claimdrop)""]",,,,,,,
mantra-swap-farm-manager,,!offer:mantra-swap-farm-manager,"[""[MANTRA Docs](https://docs.mantrachain.io/resources/contracts/mantra-dex/farm-manager)""]",,,,,,,
mantra-swap-fee-collector,,!offer:mantra-swap-fee-collector,"[""[MANTRA Docs](https://docs.mantrachain.io/resources/contracts/mantra-dex/fee-collector)""]",,,,,,,
mantra-swap-pool-manager,,!offer:mantra-swap-pool-manager,"[""[MANTRA Docs](https://docs.mantrachain.io/resources/contracts/mantra-dex/pool-manager)""]",,,,,,,
remix,,!offer:remix,"[""[MANTRA Docs](https://docs.mantrachain.io/developers/architecture/evm-compatibility)""]",,,,,,,
