slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
hyperlane-mainnet,,!offer:hyperlane,"[""[MANTRA Docs](https://docs.mantrachain.io/resources/bridging/hyperlane)""]",mainnet,,,,,,,,,,,,,,,,,,
squid-mainnet,,!offer:squid,"[""[MANTRA Docs](https://docs.mantrachain.io/resources/bridging/squid)""]",mainnet,,,,,,,,,,,,,,,,,,
