slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
ethers-js,,!offer:ethers-js,"[""[MANTRA Docs](https://docs.mantrachain.io/developers/architecture/evm-compatibility)""]",,,,,,,,,,,,,,
foundry,,!offer:foundry,"[""[MANTRA Docs](https://docs.mantrachain.io/developers/architecture/evm-compatibility)""]",,,,,,,,,,,,,,
hardhat,,!offer:hardhat,"[""[MANTRA Docs](https://docs.mantrachain.io/developers/architecture/evm-compatibility)""]",,,,,,,,,,,,,,
openzeppelin,,!offer:openzeppelin,"[""[MANTRA Docs](https://docs.mantrachain.io/developers/architecture/evm-compatibility)""]",,,,,,,,,,,,,,
web3-js,,!offer:web3-js,"[""[MANTRA Docs](https://docs.mantrachain.io/developers/architecture/evm-compatibility)""]",,,,,,,,,,,,,,
