slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
goldsky-mainnet-enterprise-indexer,,!offer:goldsky-enterprise-indexer,"[""[Website](https://goldsky.com/chains/mantra)"",""[MANTRA Docs](https://docs.mantrachain.io/resources/indexing/goldsky)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-free-indexer,,!offer:goldsky-free-indexer,"[""[Website](https://goldsky.com/chains/mantra)"",""[MANTRA Docs](https://docs.mantrachain.io/resources/indexing/goldsky)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-pay-as-you-go-indexer,,!offer:goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[MANTRA Docs](https://docs.mantrachain.io/resources/indexing/goldsky)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
mantra-public-cosmos-grpc-mainnet,,!offer:mantra-public-cosmos-grpc,"[""[MANTRA Docs](https://docs.mantrachain.io/resources/network-details)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
mantra-public-cosmos-grpc-testnet,,!offer:mantra-public-cosmos-grpc,"[""[MANTRA Docs](https://docs.mantrachain.io/resources/network-details)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
mantra-public-cosmos-rest-mainnet,,!offer:mantra-public-cosmos-rest,"[""[MANTRA Docs](https://docs.mantrachain.io/resources/network-details)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
mantra-public-cosmos-rest-testnet,,!offer:mantra-public-cosmos-rest,"[""[MANTRA Docs](https://docs.mantrachain.io/resources/network-details)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
mantra-public-cosmos-rpc-mainnet,,!offer:mantra-public-cosmos-rpc,"[""[MANTRA Docs](https://docs.mantrachain.io/resources/network-details)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
mantra-public-cosmos-rpc-testnet,,!offer:mantra-public-cosmos-rpc,"[""[MANTRA Docs](https://docs.mantrachain.io/resources/network-details)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
mantra-public-full-archive-mainnet,,!offer:mantra-public-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
mantra-public-full-archive-testnet,,!offer:mantra-public-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
mantra-public-recent-state-mainnet,,!offer:mantra-public-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
mantra-public-recent-state-testnet,,!offer:mantra-public-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
