slug,provider,chain,technology,monitoringAndAnalytics,additionalFeatures,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,starred,actionButtons
allo-mainnet,Allo,mainnet,Proprietary(AlgoNode),"[""Transactions"",""Assets"",""Accounts"",""Apps"",""Projects"",""Blocks"",""NFDomains""]","[""TEAL inspector"",""Group transaction summary"",""Filters"",""Pera verified badges"",""NFT rarity info"",""Token prices"",""AlloAlerts notifications""]","[""REST API""]",,"[""Search"",""Filter"",""Label Cloud""]",TRUE,TRUE,Free,FALSE,"[""[Explorer](https://allo.info/)""]"
pera-mainnet,Pera,mainnet,Proprietary,"[""Accounts"",""Transactions"",""NFTs"",""ASAs"",""Apps""]","[""Verified ASAs database"",""Dynamic ASA price graphs"",""NFT transaction history"",""Opt-in for NFTs/ASAs""]","[""REST API""]",,"[""Search"",""Filter"",""Dashboard stats""]",TRUE,TRUE,Free,FALSE,"[""[Explorer](https://explorer.perawallet.app/)""]"
pera-testnet,Pera,testnet,Proprietary,"[""Accounts"",""Transactions"",""NFTs"",""ASAs"",""Apps""]","[""Verified ASAs database"",""Dynamic ASA price graphs"",""NFT transaction history"",""Opt-in for NFTs/ASAs""]","[""REST API""]",,"[""Search"",""Filter"",""Dashboard stats""]",TRUE,TRUE,Free,FALSE,"[""[Explorer](https://explorer.perawallet.app/)""]"
bitquery-mainnet,Bitquery,mainnet,Proprietary,"[""Addresses"",""Transactions"",""On-chain metrics""]","[""Multi-chain support"",""Widgets""]","[""REST API"",""GraphQL""]",,"[""Search"",""Filter""]",FALSE,TRUE,Free,FALSE,"[""[Explorer](https://explorer.bitquery.io/eos/address/algorand)""]"
