slug,provider,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,actionButtons
algorand-testnet-dispenser-algo,Algorand,testnet,FALSE,TRUE,,$0,5 Algo,,"[""Required not to abuse it by requesting more Algos than needed for testing""]",FALSE,"[""[Faucet](https://dispenser.testnet.aws.algodev.network/)""]"
algorand-testnet-dispenser-usdc,Algorand,testnet,FALSE,TRUE,,$0,100 USDC,,"[""Required not to abuse it by requesting more USDC than needed for testing""]",FALSE,"[""[Faucet](https://dispenser.testnet.aws.algodev.network/)""]"
algorand-testnet-dispenser-additional-algo,Algorand,testnet,FALSE,TRUE,,$0,10 Algo,,"[""Required not to abuse it by requesting more Algos than needed for testing""]",FALSE,"[""[Faucet](https://bank.testnet.algorand.network/)""]"
