slug,provider,actionButtons,chain,address,technology,plan,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures
algorand-mainnet-indexer,Algorand,"[""[Website](https://dev.algorand.co/nodes/installation/indexer-installation/#_top)"",""[Docs](https://developer.algorand.org/docs/get-details/indexer/)""]",mainnet,null,Custom,Free,$0,$0(self-hosted open-source),,,,,,,,FALSE,FALSE,"[""REST API""]",,"[""Secure API keys"",""Encrypted endpoints""]","[""Real-time logging with SDKs""]","[""Global""]","[""Network agnostic (supports MainNet/TestNet/BetaNet)"",""Efficient data retrieval"",""Requires a separate binary download""]"
algorand-testnet-indexer,Algorand,"[""[Website](https://dev.algorand.co/nodes/installation/indexer-installation/#_top)"",""[Docs](https://developer.algorand.org/docs/get-details/indexer/)""]",testnet,null,Custom,Free,$0,$0(self-hosted open-source),,,,,,,,FALSE,FALSE,"[""REST API""]",,"[""Secure API keys"",""Encrypted endpoints""]","[""Real-time logging with SDKs""]","[""Global""]","[""Network agnostic (supports MainNet/TestNet/BetaNet)"",""Efficient data retrieval"",""Requires a separate binary download""]"
nodely-mainnet-free,Nodely,"[""[Website](https://nodely.io/)"",""[Docs](https://nodely.io/docs/free/start/)""]",mainnet,null,Custom,Free,$0,null,,,,,,,,FALSE,FALSE,"[""REST API"",""GraphQL""]","[""Up to 1K req/s/project"",""150GB req/mo"",""60 req/s/IP"",""50/s transactions/project"",""18/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]","[""Free Node & Indexer APIs""]"
nodely-mainnet-pay-as-you-go,Nodely,"[""[Buy](https://nodely.io/pricing)"",""[Docs](https://nodely.io/docs/free/start/)""]",mainnet,null,Custom,Pay-as-you-go,$256,null,,,,,,,,FALSE,FALSE,"[""REST API"",""GraphQL""]","[""6K req/s/key/site"",""2TB req/mo"",""500 req/s/IP"",""6K/s transactions/project"",""500/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]","[""Light indexer snapshots"",""Instant follower API compatible with Conduit""]"
nodely-mainnet-enterprise,Nodely,"[""[Contact](https://nodely.io/contact)"",""[Docs](https://nodely.io/docs/free/start/)""]",mainnet,null,Custom,Enterprise,$1024/region,null,,,,,,,,FALSE,FALSE,"[""REST API"",""GraphQL""]","[""3K req/s/region"",""Unlimited quota"",""900 req/s/IP"",""3K/s transactions/project"",""900/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""180 day log analytics""]","[""Global""]","[""Vanity/own domains"",""Unlimited egress"",""Bare metal power""]"
nodely-testnet-free,Nodely,"[""[Website](https://nodely.io/)"",""[Docs](https://nodely.io/docs/free/start/)""]",testnet,null,Custom,Free,$0,null,,,,,,,,FALSE,FALSE,"[""REST API"",""GraphQL""]","[""Up to 1K req/s/project"",""150GB req/mo"",""60 req/s/IP"",""50/s transactions/project"",""18/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]","[""Free Node & Indexer APIs""]"
nodely-testnet-pay-as-you-go,Nodely,"[""[Buy](https://nodely.io/pricing)"",""[Docs](https://nodely.io/docs/free/start/)""]",testnet,null,Custom,Pay-as-you-go,$256,null,,,,,,,,FALSE,FALSE,"[""REST API"",""GraphQL""]","[""6K req/s/key/site"",""2TB req/mo"",""500 req/s/IP"",""6K/s transactions/project"",""500/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]","[""Light indexer snapshots"",""Instant follower API compatible with Conduit""]"
nodely-testnet-enterprise,Nodely,"[""[Contact](https://nodely.io/contact)"",""[Docs](https://nodely.io/docs/free/start/)""]",testnet,null,Custom,Enterprise,$1024/region,null,,,,,,,,FALSE,FALSE,"[""REST API"",""GraphQL""]","[""3K req/s/region"",""Unlimited quota"",""900 req/s/IP"",""3K/s transactions/project"",""900/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""180 day log analytics""]","[""Global""]","[""Vanity/own domains"",""Unlimited egress"",""Bare metal power""]"
subquery-mainnet-pay-as-you-go,!provider:subquery-pay-as-you-go,"[""[Buy](https://subquery.network/doc/subquery_network/consumers/plan.html#setting-your-flex-plan-pricing)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/algorand.html#algorand-quick-start)""]",mainnet,,,,,,,,,,,,,,,,,,,,
ginco-testnet-free,!provider:ginco-free,"[""[Website](https://www.ginco.com/nodes)""]",testnet,,,,,,,,,,,,,,,,,,,,
ginco-testnet-enterprise,!provider:ginco-enterprise,"[""[Website](https://www.ginco.com/nodes)""]",testnet,,,,,,,,,,,,,,,,,,,,
ginco-miannet-free,!provider:ginco-free,"[""[Website](https://www.ginco.com/nodes)""]",mainnet,,,,,,,,,,,,,,,,,,,,
ginco-mainnet-enterprise,!provider:ginco-enterprise,"[""[Website](https://www.ginco.com/nodes)""]",mainnet,,,,,,,,,,,,,,,,,,,,
node-real-mainnet-free,!provider:node-real-free,"[""[Website](https://nodereal.io/pricing)""]",mainnet,,,,,,,,,,,,,,,,,,,,
node-real-mainnet-growth,!provider:node-real-growth,"[""[Website](https://nodereal.io/pricing)""]",mainnet,,,,,,,,,,,,,,,,,,,,
node-real-mainnet-team,!provider:node-real-team,"[""[Website](https://nodereal.io/pricing)""]",mainnet,,,,,,,,,,,,,,,,,,,,
node-real-mainnet-busniess,!provider:node-real-busniess,"[""[Website](https://nodereal.io/pricing)""]",mainnet,,,,,,,,,,,,,,,,,,,,
node-real-mainnet-semita,!provider:node-real-semita,"[""[Website](https://nodereal.io/pricing)""]",mainnet,,,,,,,,,,,,,,,,,,,,
node-real-testnet-free,!provider:node-real-free,"[""[Website](https://nodereal.io/pricing)""]",testnet,,,,,,,,,,,,,,,,,,,,
node-real-testnet-growth,!provider:node-real-growth,"[""[Website](https://nodereal.io/pricing)""]",testnet,,,,,,,,,,,,,,,,,,,,
node-real-testnet-team,!provider:node-real-team,"[""[Website](https://nodereal.io/pricing)""]",testnet,,,,,,,,,,,,,,,,,,,,
node-real-testnet-busniess,!provider:node-real-busniess,"[""[Website](https://nodereal.io/pricing)""]",testnet,,,,,,,,,,,,,,,,,,,,
node-real-testnet-semita,!provider:node-real-semita,"[""[Website](https://nodereal.io/pricing)""]",testnet,,,,,,,,,,,,,,,,,,,,
