slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,tag
predicate-mainnet,,!offer:predicate-secure-bridge-framework,"[""[Aleo](https://aleo.org/post/aleo-launches-secure-bridge-framework-with-predicate/)"",""[Website](https://predicate.io/)""]",mainnet,,,,,,,,,,,,,,,,,,
verulink-mainnet,,!offer:verulink,"[""[Bridge](https://bridge.verulink.com)"",""[Ecosystem](https://aleo.org/ecosystems/)""]",mainnet,,,,,,,,,,,,,,,,,,
