slug,provider,offer,actionButtons,platformType,tradingTypes,kycRequired,feeStructure,starred
1inch-aggregation,1inch,1inch Aggregation,"[""[Website](https://1inch.com/)"",""[Docs](https://business.1inch.com/portal/documentation/overview)""]",Aggregator,"[""Spot swaps"",""Limit orders""]",FALSE,"Route and protocol fees vary by integrator and route; network fees apply.",FALSE
rango-swap-aggregation,Rango,Rango Aggregator,"[""[Website](https://rango.exchange/)"",""[Docs](https://docs.rango.exchange/integrations)"",""[Fee docs](https://docs.rango.exchange/technical/fee-structure)""]",Aggregator,"[""Spot swaps"",""Cross-chain swaps""]",FALSE,"Rango documents configurable percentage fees, including a default 0.1% affiliate fee plus a 0.15% Rango share; swapper and network fees vary by route, and optional centralized routes can require KYC.",FALSE
