slug,provider,offer,actionButtons,paymentType,settlementAssets,settlementChains,custodial,kycLevel,developerInterface,planType,planName,price,trial,starred,x402,onChainSettlement,paymentMethods,nonCustodial,regions,limitations,tag,description
base-pay-desk,Base Pay Desk,,"[""[Website](https://oskarasi.github.io/base-pay-desk-site/)"",""[Source](https://github.com/oskarasi/base-pay-desk-site)""]",Payment link,"[""ETH""]","[""base""]",FALSE,,"[""Payment link""]",Free,,$0,FALSE,FALSE,,TRUE,"[""Wallet""]",TRUE,,,"[""Base"",""Payment links"",""Checkout"",""Merchant tools"",""Onchain commerce""]","Open-source static checkout builder that helps merchants create shareable Base ETH payment links, buyer-ready payment messages, setup request briefs, and portable handoff links while sellers keep control of their own wallets"
coinflow,Coinflow,,"[""[Website](https://coinflow.cash/)"",""[Docs](https://docs.coinflow.cash/)""]",Payment API,,,,,"[""API""]",Dedicated,,Custom,FALSE,FALSE,,,,,,,"[""Payment Infrastructure/Solutions"",""Web3/Crypto Integration"",""API integration""]","It provides a suite of tools that enable developers to seamlessly integrate comprehensive payment solutions into their applications: Accept diverse payments, Instant settlement, Risk and compliance management"
coingate-enterprise,CoinGate,,"[""[Website](https://coingate.com/)"",""[Docs](https://developer.coingate.com/)""]",Merchant gateway,"[""BTC"",""USDC""]",,,,,Enterprise,,1% Fee,FALSE,FALSE,,,"[""Cryptocurrency""]",,,,"[""Merchant"",""Invoicing"",""Processing""]","Cryptocurrency payment gateway. It enables accepting payments in Bitcoin, USDC and various other cryptocurrencies"
coingate-standard,CoinGate,,"[""[Website](https://coingate.com/)"",""[Docs](https://developer.coingate.com/)""]",Merchant gateway,"[""BTC"",""USDC""]",,,,,Pay-as-you-go,,1% Fee,FALSE,FALSE,,,"[""Cryptocurrency""]",,,,"[""Merchant"",""Invoicing"",""Processing""]","Cryptocurrency payment gateway. It enables accepting payments in Bitcoin, USDC and various other cryptocurrencies"
nowpayments,NowPayments,,"[""[Website](https://nowpayments.io/)""]",Merchant gateway,,,FALSE,,"[""API""]",Pay-as-you-go,,0.5% Fee,FALSE,FALSE,,,"[""Cryptocurrency""]",TRUE,,,"[""API"",""Non-custodial"",""Payments""]",Non-custodial crypto payment gateway for e-commerce and donations.
paymaster,Coinbase,,"[""[Docs](https://docs.cdp.coinbase.com/paymaster/introduction/welcome)""]",Gas sponsorship,,,,,"[""API""]",Enterprise,,Custom,FALSE,FALSE,,,,,,,"[""Account Abstraction"",""Gas sponsorship""]",Account abstraction endpoints to send transactions and sponsor gas
sablier,Sablier,,"[""[Website](https://sablier.com/)"",""[Docs](https://docs.sablier.com/)""]",Payout,,,,,,Enterprise,,Custom,FALSE,FALSE,,TRUE,"[""Token transfer""]",,,,"[""Payments"",""Token distribution"",""Payroll"",""Vesting"",""Grants""]","Token streaming protocol for continuous on-chain distributions supporting vesting, payroll, airdrops, and grants with flexible schedule curves including linear, cliff-based, and discrete unlocks."
solx402-mcp-server,Leandro Gavidia,,"[""[Website](https://github.com/leandrogavidia/solx402-mcp-server)"",""[Docs](https://github.com/leandrogavidia/solx402-mcp-server#readme)""]",x402,"[""USDC""]","[""solana""]",,,"[""MCP""]",Free,,$0,FALSE,FALSE,TRUE,TRUE,"[""Stablecoin""]",,,,"[""Solana"",""x402"",""payments"",""AI agents""]",MCP server enabling AI assistants to interact with x402 payment flows on Solana
sprintcheckout,Sprintcheckout,,"[""[Website](https://sprintcheckout.com/)""]",Checkout,,,,,"[""API"",""Payment link""]",Enterprise,,Custom,FALSE,FALSE,,TRUE,"[""Cryptocurrency""]",,,,"[""Crypto payment gateway"",""Web3 payment tools"",""Blockchain payment solution""]","It provides the infrastructure and tools for developers to seamlessly incorporate modern, low-cost, and user-friendly crypto payment options into their projects"
thirdweb-pay,Thirdweb,,"[""[Docs](https://portal.thirdweb.com/pay)""]",Checkout,,,,,"[""SDK""]",Enterprise,,Custom,FALSE,FALSE,,TRUE,"[""Fiat"",""Cryptocurrency""]",,,,"[""Checkout"",""Fiat payments"",""Cross-chain payments"",""Gas abstraction""]",Fiat and cross-chain crypto payments with gas fee abstraction
