slug,provider,offer,actionButtons,tag,description,nftFunctions,deliveryTypes,tokenStandards,assetActions,custodyModel,metadataSupport,starred
rarible-nft-api,Rarible,Rarible NFT API and SDK,"[""[Website](https://rarible.com/)"",""[Docs](https://docs.rarible.org/)""]","[""NFT"",""API"",""SDK"",""Marketplace"",""Analytics""]","A multichain NFT API, indexer, trading SDK, and smart-contract platform for building NFT applications and marketplaces.","[""minting"",""metadata"",""discovery"",""trading"",""marketplace_aggregation"",""analytics""]","[""api"",""sdk"",""smart_contracts""]",NULL,"[""create"",""mint"",""read"",""transfer"",""list"",""buy"",""sell""]",NULL,read,FALSE
reservoir-nft-platform,Reservoir,Reservoir NFT Trading and Data APIs,"[""[Website](https://reservoir.tools/)"",""[Docs](https://nft.reservoir.tools/)""]","[""NFT"",""API"",""SDK"",""Trading"",""Marketplace""]","Developer infrastructure for NFT trading and data, including APIs, a TypeScript/JavaScript SDK, ReservoirKit, and marketplace aggregation.","[""metadata"",""discovery"",""trading"",""marketplace_aggregation"",""analytics""]","[""api"",""sdk"",""library"",""hosted_app""]",NULL,"[""read"",""list"",""buy"",""sell"",""bid""]",NULL,read,FALSE
unlock-membership-tooling,Unlock Protocol,Unlock membership and token-gating infrastructure,"[""[Website](https://unlock-protocol.com/)"",""[Docs](https://docs.unlock-protocol.com/)""]","[""NFT"",""Membership"",""Token gating"",""Smart contracts""]","Smart-contract and JavaScript tooling for ERC-721 membership keys, minting, transfers, renewals, and token-gated access.","[""minting"",""metadata"",""token_gating"",""membership""]","[""smart_contracts"",""sdk"",""hosted_app""]","[""ERC-721""]","[""create"",""mint"",""read"",""transfer"",""gate"",""renew""]",non_custodial,write,FALSE
