slug,provider,offer,actionButtons,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
etherscan,Etherscan,Etherscan,"[""[Explore](https://etherscan.io/)"",""[Docs](https://docs.etherscan.io/)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Tracker"",""Network Metrics""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",TRUE,TRUE,Free,"[""block explorer"",""Ethereum"",""EVM"",""smart contracts""]"
ethplorer,Ethplorer,Ethplorer,"[""[Explore](https://ethplorer.io/)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Pulse"",""Portfolio Charts""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,"[""block explorer"",""Ethereum"",""tokens"",""portfolio""]"
ethvm,EthVM,EthVM,"[""[Explore](https://www.ethvm.com/)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Portfolio Charts"",""Internal TX Tracking""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,"[""block explorer"",""Ethereum"",""internal transactions"",""portfolio""]"
filfox,FilFox,FilFox Explorer,"[""[Explore](https://filfox.info/en/)""]",Custom,"[""Storage Power"",""Sector Pledge"",""Gas"",""Storage Providers""]",,FALSE,"[""REST""]",,"[""Height"",""Address"",""Message ID""]",TRUE,TRUE,Free,"[""block explorer"",""Filecoin"",""storage power"",""REST API""]"
filscan,FilScan,FilScan,"[""[Explore](https://filscan.io)""]",Custom,"[""Contracts"",""Storage Power"",""Block Rewards"",""Storage Providers"",""Tokens"",""Storage Capacity""]",,FALSE,,,"[""Address"",""Message ID"",""Height"",""Block"",""Miner ID"",""FNS""]",TRUE,TRUE,Free,"[""block explorer"",""Filecoin"",""storage providers"",""FNS""]"
flareexplorer,Flare Network,Flare Explorer,"[""[Explore](https://flare-explorer.flare.network/)""]",Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,"[""block explorer"",""Flare"",""Blockscout"",""EVM""]"
flarescan,Avascan,FlareScan,"[""[Explore](https://mainnet.flarescan.com/)""]",Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,"[""block explorer"",""Flare"",""Avascan"",""Blockscout""]"
flaresystems,Flare Systems,Flare Systems Explorer,"[""[Explore](https://flare-systems-explorer.flare.network/)""]",Custom,"[""FTSO Data"",""Staking Rewards"",""Epoch Status""]","[""FTSO Monitoring"",""Delegation Tracking""]",FALSE,"[""REST""]","[""TypeScript""]","[""Address"",""Epoch"",""Provider""]",FALSE,FALSE,Free,"[""block explorer"",""Flare"",""FTSO"",""staking rewards""]"
lens-network,Lens,Lens Network,"[""[Explore](https://explorer.lens.xyz/)"",""[Docs](https://lens.xyz/docs/chain/overview)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""NFT Tracking"",""Network Metrics""]",TRUE,"[""REST""]","[""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,"[""block explorer"",""Lens"",""EVM"",""contracts""]"
metasleuth,MetaSleuth,MetaSleuth,"[""[Explore](https://metasleuth.io/)""]",Custom,"[""Fund Tracking"",""Visual Analysis""]","[""Graph Visualization"",""Hacker Tracking""]",FALSE,"[""REST API""]",,"[""Address"",""Tx""]",FALSE,TRUE,"Free/$50/$180/$900/mo (individual monthly plan), $100/$360/$1800/mo (team monthly plan)","[""block explorer"",""fund tracking"",""graph analysis"",""investigation""]"
