slug,provider,offer,actionButtons,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
fil-plus-datacap,FilPlus DataCap Stats,FilPlus DataCap Stats Analytics,"[""[Dashboard](https://datacapstats.io/about)""]","[""DataCap Usage"",""DataCap Allocators"", ""DataCap Clients"",""Storage Providers"",""Retrieval Success Rate"",""Storage provider compliance"",""Storage Provider Audit""]",TRUE,,"[""REST API""]",$0,Free,Free,FALSE,"[""analytics"",""dashboard"",""API"",""storage analytics"",""free""]"
footprint-analytics-enterprise,Footprint Analytics,Footprint Analytics,"[""[Dashboard](https://www.footprint.network/)""]","[""GameFi"",""NFT"",""DeFi""]",TRUE,,"[""REST API""]",Custom,Enterprise,Enterprise,FALSE,"[""analytics"",""dashboard"",""API"",""DeFi"",""NFT""]"
footprint-analytics-free,Footprint Analytics,Footprint Analytics,"[""[Dashboard](https://www.footprint.network/)""]","[""GameFi"",""NFT"",""DeFi""]",TRUE,,"[""REST API""]",$0,Free,Free,FALSE,"[""analytics"",""dashboard"",""API"",""DeFi"",""NFT""]"
glassnode,Glassnode,Glassnode Analytics,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=ETH)""]","[""Address Metrics"",""Supply Dynamics"",""Exchange Reserves"",""Fee Revenue"",""Holder Metrics""]",TRUE,,"[""REST API""]","$0/$99/$999/mo (monthly plan), $0/$49/$999/mo (yearly plan)",,Tiered,FALSE,"[""analytics"",""dashboard"",""API"",""market data"",""paid""]"
growthepie,growthepie,growthepie,"[""[Dashboard](https://www.growthepie.com/)""]","[""Active wallets"",""Transactions Volume"",""Transactions throughput"",""Value secured"",""Revenue"",""Transactions costs"",""Most active contracts"",""Risk analysis""]",TRUE,,"[""REST API""]",$0,Free,Free,FALSE,"[""analytics"",""dashboard"",""API"",""market data"",""free""]"
jiffyscan,jiffyscan.xyz,jiffyscan.xyz Analytics,"[""[Dashboard](https://jiffyscan.xyz/)""]","[""ERC4337 analytics""]",TRUE,,"[""REST API""]","$0/$54/$103/mo (monthly plan), $0/$43/$83/mo (yearly plan)",,Tiered,FALSE,"[""analytics"",""dashboard"",""API"",""paid""]"
l2beat,L2BEAT,L2BEAT Analytics,"[""[Dashboard](https://l2beat.com/scaling/summary)""]","[""TVL"",""On-chain costs"",""Risk analysis"",""Technical chain analysis""]",TRUE,,"[""REST API""]",$0,Free,Free,FALSE,"[""analytics"",""dashboard"",""API"",""DeFi"",""free""]"
laevitas-custom-enterprise,Laevitas,Laevitas,"[""[Dashboard](https://www.laevitas.ch/)""]","[""API and Institutional Feeds""]",TRUE,,"[""REST API""]",Custom,Custom Enterprise,Enterprise,FALSE,"[""analytics"",""dashboard"",""API"",""enterprise""]"
laevitas-enterprise,Laevitas,Laevitas,"[""[Dashboard](https://www.laevitas.ch/)""]","[""API and Institutional Feeds""]",TRUE,1 year,"[""REST API""]",$500/mo,Enterprise,Tiered,FALSE,"[""analytics"",""dashboard"",""API"",""paid""]"
laevitas-free,Laevitas,Laevitas,"[""[Dashboard](https://www.laevitas.ch/)""]","[""API and Institutional Feeds""]",TRUE,1 week,"[""REST API""]",$0,Free,Free,FALSE,"[""analytics"",""dashboard"",""API"",""free""]"
laevitas-premium,Laevitas,Laevitas,"[""[Dashboard](https://www.laevitas.ch/)""]","[""API and Institutional Feeds""]",TRUE,1 year,"[""REST API""]",$50/mo,Premium,Tiered,FALSE,"[""analytics"",""dashboard"",""API"",""paid""]"
lunarcrush-builder,LunarCrush,LunarCrush,"[""[Buy](https://lunarcrush.com/pricing)""]","[""Cryptocurrency Exchanges"",""News Sites"",""Social Media"",""Time-Series Intelligence""]",TRUE,,"[""REST API""]","$15/day (daily plan),$300/mo (monthly plan),$240/mo (yearly plan)",Builder,Tiered,FALSE,"[""analytics"",""dashboard"",""API"",""market data"",""social data""]"
lunarcrush-enterprise,LunarCrush,LunarCrush,"[""[Contact](https://lunarcrush.com/pricing)""]","[""Cryptocurrency Exchanges"",""News Sites"",""Social Media"",""Time-Series Intelligence""]",TRUE,,"[""REST API""]",Custom,Enterprise,Enterprise,FALSE,"[""analytics"",""dashboard"",""API"",""market data"",""social data""]"
lunarcrush-hobby,LunarCrush,LunarCrush,"[""[Website](https://lunarcrush.com/home?category=cryptocurrencies)""]","[""Cryptocurrency Exchanges"",""News Sites"",""Social Media"",""Time-Series Intelligence""]",TRUE,,"[""REST API""]",$0,Hobby,Free,FALSE,"[""analytics"",""dashboard"",""API"",""market data"",""social data""]"
lunarcrush-individual,LunarCrush,LunarCrush,"[""[Buy](https://lunarcrush.com/pricing)""]","[""Cryptocurrency Exchanges"",""News Sites"",""Social Media"",""Time-Series Intelligence""]",TRUE,,"[""REST API""]","$5/day (daily plan),$90/mo (monthly plan),$72/mo (yearly plan)",Individual,Tiered,FALSE,"[""analytics"",""dashboard"",""API"",""market data"",""social data""]"
lunarcrush-scale,LunarCrush,LunarCrush,"[""[Buy](https://lunarcrush.com/pricing)""]","[""Cryptocurrency Exchanges"",""News Sites"",""Social Media"",""Time-Series Intelligence""]",TRUE,,"[""REST API""]","$45/day (daily plan),$900/mo (monthly plan),$720/mo (yearly plan)",Scale,Tiered,FALSE,"[""analytics"",""dashboard"",""API"",""market data"",""social data""]"
messari,Messari,Messari Analytics,"[""[Dashboard](https://messari.io/)""]","[""Network Metrics"",""TVL & Market Data"",""On‑chain Usage Metrics""]",TRUE,,"[""Research Reports"",""API Access"",""Dashboard""]",$0/$4000/year,,Tiered,FALSE,"[""analytics"",""dashboard"",""API"",""DeFi"",""paid""]"
nansen,Nansen,Nansen Analytics,"[""[Dashboard](https://app.nansen.ai)""]","[""Exchange Flows"",""Token Distribution"",""DeFi Activity"",""NFT Analytics"",""Wallet Labels""]",TRUE,,"[""Smart Money API"",""Profiler API"",""API Keys""]","$0/$69/mo (monthly plan), $0/$49/mo (yearly plan)",,Tiered,FALSE,"[""analytics"",""dashboard"",""API"",""DeFi"",""NFT""]"
santiment-business-max,Santiment,Santiment,"[""[Buy](https://app.santiment.net/pricing?plans=business)""]","[""On-Chain Data"",""Social Media Data"",""Financial/Market Data""]",TRUE,,"[""SanAPI""]","$999/mo,$11388/yr",Business Max,Tiered,FALSE,"[""analytics"",""dashboard"",""API"",""market data"",""social data""]"
santiment-business-pro,Santiment,Santiment,"[""[Buy](https://app.santiment.net/pricing?plans=business)""]","[""On-Chain Data"",""Social Media Data"",""Financial/Market Data""]",TRUE,,"[""SanAPI""]","$420/mo,$4788/yr",Business Pro,Tiered,FALSE,"[""analytics"",""dashboard"",""API"",""market data"",""social data""]"
santiment-enterprise,Santiment,,"[""[Contact](https://calendly.com/santiment-team/santiment-enterprise-plan-enquiry)""]","[""On-Chain Data"",""Social Media Data"",""Financial/Market Data""]",TRUE,,"[""SanAPI""]",Custom,Enterprise,Enterprise,FALSE,
santiment-free,Santiment,,"[""[Website](https://app.santiment.net/)""]","[""On-Chain Data"",""Social Media Data"",""Financial/Market Data""]",TRUE,,"[""SanAPI""]",$0,Free,Free,FALSE,
santiment-sanbase-max,Santiment,,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]","[""On-Chain Data"",""Social Media Data"",""Financial/Market Data""]",TRUE,,"[""SanAPI""]","$49/mo,$529/yr",Sanbase Max,Tiered,FALSE,
santiment-sanbase-pro,Santiment,,"[""[Buy](https://app.santiment.net/pricing?plans=consumer)""]","[""On-Chain Data"",""Social Media Data"",""Financial/Market Data""]",TRUE,,"[""SanAPI""]","$249/mo,$2700/yr",Sanbase Pro,Tiered,FALSE,
sentry-aleno,Sentry by Aleno,,"[""[Docs](https://docs.aleno.ai/apis/rest-v1)""]","[""Asset prices"",""TVL"",""Cross-chain activity metrics"",""Cross protocol data"",""Market analysis metrics""]",FALSE,,"[""REST API""]",Custom,Enterprise,Enterprise,FALSE,
starboard,Starboard,,"[""[Dashboard](https://dashboard.starboard.ventures/dashboard/analytics#capacityservices-storage-state)""]","[""DeFI Deposits / Borrows"",""Storage Capacity"",""Data Utilization Rate"",""Active Miners"",""Capacity Added"",""Sector Onboarding"",""Sectors Expiration"",""Capacity Terminated"",""Storage Power Added"",""Sectors Added"",""Faults"",""Retrieval Success Rate"",""Block Rewards"",""Commit Pledge"",""Active Deals"",""Deal Duration"",""Deal Size"",""Deal Collateral"",""DataCap"",""Network Fee"",""Sealing cost"",""Deal Publication Cost"",""Contract Invocation Cost"",""Gas Usage"",""Circulating Supply"",""Contracts"",""Transactions"",""Active Users"",""Accounts"",""Miner Revenue""]",TRUE,,"[""Scope Space API"",""Data API"",""FVM Explorer APIs"",""Hardhat plugin API""]",$0,Free,Free,FALSE,
tokenterminal,token terminal,,"[""[Dashboard](https://tokenterminal.com/)""]","[""Active wallets"",""Active projects"",""Revenue"",""Fees""]",TRUE,,"[""JSON-RPC with 60 RPS""]","$0/$350/mo (monthly plan), $0/$292/mo (yearly plan)",,Tiered,FALSE,
zapper,Zapper,,"[""[Dashboard](https://zapper.xyz/)""]","[""Portfolio"",""NFTs"",""DeFi""]",TRUE,,"[""GraphQL""]",$0,Free,Free,FALSE,
