slug,provider,offer,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
3xpl-mcp,Exekerey,,"[""[Website](https://github.com/exekerey/3xpl-mcp)"",""[Docs](https://github.com/exekerey/3xpl-mcp#readme)""]",explorers,Self-hosted,stdio,,None,FALSE,FALSE,"[""explorer-query"",""transaction-lookup"",""address-lookup""]","[""block explorer"",""multi-chain"",""on-chain data"",""AI agents""]","MCP server for querying blockchain explorer data across multiple blockchains via the 3xpl API",Free,,$0,FALSE,FALSE
aibtc-mcp-server,Aibtc,,"[""[Website](https://github.com/aibtcdev/aibtc-mcp-server)"",""[Docs](https://github.com/aibtcdev/aibtc-mcp-server#readme)""]",services,Self-hosted,stdio,,API Key,TRUE,TRUE,"[""wallet-management"",""defi-yield"",""sbtc-operations"",""nft-operations"",""x402-payments""]","[""Bitcoin"",""Stacks"",""DeFi"",""sBTC"",""NFT"",""x402"",""AI agents""]","Bitcoin-native MCP server for AI agents with BTC/STX wallets, DeFi yield, sBTC peg, NFTs, and x402 payments",Free,,$0,FALSE,FALSE
alchemy-mcp-server,Alchemy,,"[""[Website](https://github.com/alchemyplatform/alchemy-mcp-server)"",""[Docs](https://github.com/alchemyplatform/alchemy-mcp-server#readme)""]",apis,Self-hosted,stdio,,API Key,FALSE,TRUE,"[""multichain-data-query"",""token-pricing"",""onchain-transfers"",""wallet-operations""]","[""infrastructure"",""multi-chain"",""on-chain data"",""AI agents""]",Official Alchemy MCP server for AI agents to query blockchain data and execute transactions through Alchemy APIs,Free,,$0,FALSE,FALSE
blockscout-mcp,Blockscout,,"[""[Website](https://github.com/blockscout/mcp-server)"",""[Docs](https://github.com/blockscout/mcp-server#readme)""]",explorers,Hosted,http,"https://mcp.blockscout.com/mcp",None,FALSE,FALSE,"[""address-balance-query"",""token-lookup"",""contract-metadata"",""transaction-lookup"",""nft-query""]","[""block explorer"",""multi-chain"",""EVM"",""on-chain data"",""AI agents""]","Official Blockscout MCP server for AI agents to access blockchain explorer data—balances, tokens, NFTs, and contract metadata—across EVM networks via a hosted HTTP endpoint",Free,,$0,FALSE,FALSE
bnbchain-mcp,BNB Chain,,"[""[Website](https://github.com/bnb-chain/bnbchain-mcp)"",""[Docs](https://github.com/bnb-chain/bnbchain-mcp#readme)""]",services,Self-hosted,stdio,,None,FALSE,TRUE,"[""evm-read"",""transaction-send"",""contract-interaction"",""greenfield-file-operations""]","[""EVM"",""BSC"",""opBNB"",""Greenfield"",""AI agents""]","Official BNB Chain MCP server for interacting with BSC, opBNB, Greenfield, and other supported EVM networks via AI agents",Free,,$0,FALSE,FALSE
chainstack-rpc-nodes-mcp,Chainstack,,"[""[Website](https://github.com/chainstacklabs/rpc-nodes-mcp)"",""[Docs](https://docs.chainstack.com/docs/platform-introduction)""]",apis,Self-hosted,stdio,,API Key,FALSE,TRUE,"[""json-rpc-interaction"",""node-access""]","[""JSON-RPC"",""Blockchain nodes"",""Ethereum"",""Solana"",""AI agents""]","Minimal, fast, and extensible MCP server for interactions with JSON-RPC blockchain nodes",Free,,$0,FALSE,FALSE
coinbase-agentkit-mcp,Coinbase,,"[""[Website](https://github.com/coinbase/agentkit/tree/main/typescript/framework-extensions/model-context-protocol)"",""[Docs](https://docs.cdp.coinbase.com/agent-kit/core-concepts/model-context-protocol)""]",wallets,Self-hosted,stdio,,API Key,FALSE,TRUE,"[""wallet-management"",""onchain-transfers"",""smart-contract-interaction""]","[""EVM"",""SVM"",""AgentKit"",""AI agents""]","Official Coinbase AgentKit MCP extension for exposing wallet and onchain tools to MCP-compatible AI clients",Free,,$0,FALSE,FALSE
coingecko-mcp,CoinGecko,,"[""[Website](https://github.com/coingecko/coingecko-typescript/tree/main/packages/mcp-server)"",""[Docs](https://docs.coingecko.com/)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""coin-price-query"",""market-data-query"",""token-analytics"",""historical-data-query""]","[""market data"",""price feeds"",""crypto analytics"",""multi-chain"",""AI agents""]","Official CoinGecko MCP server for AI agents to query cryptocurrency prices, market data, and on-chain metrics across 250+ blockchain networks via the CoinGecko API",Free,,$0,FALSE,FALSE
cryptoapis-mcp-address-history,CryptoAPIs,,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-address-history)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-address-history#readme)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""address-history-query"",""transaction-history"",""address-sync-management""]","[""infrastructure"",""multi-chain"",""address-history"",""APIs"",""AI agents""]","MCP server for querying full address transaction and token transfer history for synced addresses across EVM and UTXO blockchains via Crypto APIs",Free,,$0,FALSE,FALSE
cryptoapis-mcp-address-latest,CryptoAPIs,,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-address-latest)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-address-latest#readme)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""address-balance-query"",""transaction-history"",""token-transfer-history""]","[""infrastructure"",""multi-chain"",""address-data"",""APIs"",""AI agents""]","MCP server for querying latest address balances, transactions, and token transfers across EVM, UTXO, Solana, XRP, and Kaspa blockchains via Crypto APIs",Free,,$0,FALSE,FALSE
cryptoapis-mcp-block-data,CryptoAPIs,,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-block-data)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-block-data#readme)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""block-by-height-query"",""block-by-hash-query"",""block-transactions-query""]","[""infrastructure"",""UTXO"",""EVM"",""XRP"",""APIs"",""AI agents""]","MCP server for Crypto APIs Block Data product to query blocks and block transactions by height or hash across EVM, UTXO, and XRP blockchains",Free,,$0,FALSE,FALSE
cryptoapis-mcp-blockchain-fees,CryptoAPIs,,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-blockchain-fees)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-blockchain-fees#readme)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""fee-recommendation"",""gas-estimation"",""xrp-fee-query""]","[""infrastructure"",""UTXO"",""EVM"",""XRP"",""APIs"",""AI agents""]","MCP server for fee recommendations and gas estimation for UTXO, EVM, and XRP blockchains via Crypto APIs",Free,,$0,FALSE,FALSE
cryptoapis-mcp-broadcast,CryptoAPIs,,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-broadcast)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-broadcast#readme)""]",apis,Self-hosted,stdio,,API Key,FALSE,TRUE,"[""signed-transaction-broadcast"",""evm-broadcast"",""utxo-broadcast""]","[""infrastructure"",""EVM"",""UTXO"",""transaction-broadcast"",""APIs"",""AI agents""]",MCP server for broadcasting signed transactions across supported EVM and UTXO blockchains via Crypto APIs,Free,,$0,FALSE,FALSE
cryptoapis-mcp-contracts,CryptoAPIs,,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-contracts)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-contracts#readme)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""contract-token-details"",""solana-token-details"",""token-standard-query""]","[""infrastructure"",""EVM"",""Solana"",""smart contracts"",""APIs"",""AI agents""]",MCP server for reading smart contract token details by contract address on EVM and Solana blockchains via Crypto APIs,Free,,$0,FALSE,FALSE
cryptoapis-mcp-hd-wallet,CryptoAPIs,,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-hd-wallet)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-hd-wallet#readme)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""hd-wallet-management"",""xpub-sync"",""wallet-balance-query"",""address-derivation""]","[""infrastructure"",""EVM"",""UTXO"",""XRP"",""HD wallets"",""APIs"",""AI agents""]","MCP server for Crypto APIs HD Wallet product to track and manage HD wallets by extended public key across EVM, UTXO, and XRP blockchains",Free,,$0,FALSE,FALSE
cryptoapis-mcp-hub,CryptoAPIs,,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-hub)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-hub#readme)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""blockchain-data-query"",""address-monitoring"",""transaction-lookup""]","[""infrastructure"",""multi-chain"",""APIs"",""AI agents""]","CryptoAPIs MCP hub providing blockchain data tools for AI agents across multiple networks",Free,,$0,FALSE,FALSE
cryptoapis-mcp-signer,CryptoAPIs,,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-signer)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-signer#readme)""]",wallets,Self-hosted,stdio,,None,FALSE,FALSE,"[""evm-transaction-signing"",""utxo-transaction-signing"",""xrp-transaction-signing""]","[""infrastructure"",""EVM"",""UTXO"",""XRP"",""transaction-signing"",""AI agents""]","MCP server for local transaction signing across EVM, UTXO, Tron, and XRP blockchains without Crypto API calls",Free,,$0,FALSE,FALSE
cryptoapis-mcp-simulate,CryptoAPIs,,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-simulate)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-simulate#readme)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""evm-transaction-simulation"",""gas-usage-preview"",""state-change-preview""]","[""infrastructure"",""EVM"",""transaction-simulation"",""APIs"",""AI agents""]",MCP server for simulating EVM transactions across supported networks via Crypto APIs,Free,,$0,FALSE,FALSE
cryptoapis-mcp-transactions-data,CryptoAPIs,,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-transactions-data)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-transactions-data#readme)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""transaction-lookup"",""tx-hash-query"",""cross-chain-transaction-data""]","[""infrastructure"",""multi-chain"",""transaction-data"",""APIs"",""AI agents""]","MCP server for transaction lookup by hash across EVM, UTXO, Solana, XRP, and Kaspa blockchains via Crypto APIs",Free,,$0,FALSE,FALSE
dexpaprika-mcp,Coinpaprika,,"[""[Website](https://dexpaprika.com)"",""[Docs](https://docs.dexpaprika.com/introduction)""]",analytics,Self-hosted,stdio,,None,FALSE,FALSE,"[""dex-analytics"",""token-price-query"",""liquidity-pool-data"",""market-analytics""]","[""DEX"",""DeFi analytics"",""multi-chain"",""AI agents""]","MCP server providing real-time DEX analytics including token prices, liquidity pools, and trading volume across 34 blockchain networks via DexPaprika API",Freemium,Free,$0,FALSE,FALSE
evm-mcp-server,MCP.direct,,"[""[Website](https://github.com/mcpdotdirect/evm-mcp-server)"",""[Docs](https://github.com/mcpdotdirect/evm-mcp-server#readme)""]",smart-contract,Self-hosted,stdio,,API Key,FALSE,TRUE,"[""evm-read"",""transaction-send"",""contract-interaction""]","[""EVM"",""multi-chain"",""smart contracts"",""AI agents""]","MCP server that provides tools for interacting with EVM networks",Free,,$0,FALSE,FALSE
github-mcp-server,GitHub,,"[""[Website](https://github.com/github/github-mcp-server)"",""[Docs](https://github.com/github/github-mcp-server#readme)""]",services,Hosted,http,"https://api.githubcopilot.com/mcp/",OAuth/PAT,FALSE,FALSE,"[""repository-management"",""issue-pr-automation"",""workflow-intelligence"",""code-analysis""]","[""GitHub"",""source control"",""CI/CD"",""AI agents""]","Official GitHub MCP Server for repository, issues, pull request, and workflow operations via AI agents",Free,,$0,FALSE,FALSE
mcp-etherscan-server,CrazyRabbitLTC,,"[""[Website](https://github.com/crazyrabbitLTC/mcp-etherscan-server)"",""[Docs](https://github.com/crazyrabbitLTC/mcp-etherscan-server#readme)""]",explorers,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""eth-balance-check"",""transaction-history"",""contract-abi-fetch""]","[""Ethereum"",""Etherscan"",""on-chain data"",""AI agents""]","MCP server exposing Ethereum data tools through the Etherscan API",Free,,$0,FALSE,FALSE
misttrack-mcp,SlowMist,,"[""[Website](https://github.com/slowmist/MistTrackMCP)"",""[Docs](https://docs.misttrack.io/openapi/overview)""]",analytics,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""address-risk-scoring"",""aml-screening"",""transaction-tracing"",""fund-flow-analysis""]","[""AML"",""security"",""analytics"",""multi-chain"",""blockchain forensics"",""AI agents""]","MCP server providing blockchain AML risk analysis and on-chain tracing via the MistTrack API across 19 networks",Free,,$0,FALSE,FALSE
moralis-mcp-server,Moralis,,"[""[Website](https://github.com/MoralisWeb3/moralis-mcp-server)"",""[Docs](https://github.com/MoralisWeb3/moralis-mcp-server#readme)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""wallet-activity-query"",""token-metrics-query"",""nft-data-query"",""transaction-history""]","[""EVM"",""Solana"",""blockchain data"",""analytics"",""AI agents""]","Official Moralis MCP server for AI agents to query blockchain data including wallet activity, token metrics, NFT ownership, and transaction history across EVM chains and Solana",Free,,$0,FALSE,FALSE
nodit-mcp-server,Nodit,,"[""[Website](https://github.com/noditlabs/nodit-mcp-server)"",""[Docs](https://developer.nodit.io/)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""blockchain-data-query"",""node-api-access""]","[""Blockchain data"",""Node API"",""Multi-chain"",""On-chain data"",""AI agents""]","MCP server for AI agents to interact with blockchain data via Nodit's Web3 Data and Node APIs, enabling LLMs to access structured multi-chain blockchain context with zero blockchain-specific logic",Free,,$0,FALSE,FALSE
portals-mcp-server,Portals Protocol,,"[""[Website](https://github.com/portalsprotocol/mcp-server)"",""[Docs](https://github.com/portalsprotocol/mcp-server#readme)""]",services,Self-hosted,stdio,,None,FALSE,TRUE,"[""defi-tool-access"",""solana-defi""]","[""Solana"",""DeFi"",""AI agents""]","MCP server for Portals Protocol to give AI agents access to decentralized tools on Solana",Free,,$0,FALSE,FALSE
solana-mcp-agent-kit,SolanaMCP,,"[""[Website](https://github.com/solanamcp/solana-mcp)"",""[Docs](https://github.com/solanamcp/solana-mcp#readme)""]",wallets,Self-hosted,stdio,,None,FALSE,TRUE,"[""wallet-management"",""transaction-execution"",""solana-operations""]","[""Solana"",""wallet"",""agent kit"",""AI agents""]","Solana Agent Kit MCP server for wallet and transaction workflows on Solana",Free,,$0,FALSE,FALSE
solana-mcp-server-opensvm,OpenSVM,,"[""[Website](https://github.com/openSVM/solana-mcp-server)"",""[Docs](https://github.com/openSVM/solana-mcp-server#readme)""]",apis,Self-hosted,stdio,,None,FALSE,TRUE,"[""solana-rpc"",""transaction-send"",""account-query""]","[""Solana"",""RPC"",""on-chain actions"",""AI agents""]","Solana MCP server enabling Solana RPC method access for AI agents",Free,,$0,FALSE,FALSE
