slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,tag
blockbolt-sui-faucet,Blockbolt,,"[""[Faucet](https://faucet.blockbolt.io/)""]",testnet,FALSE,FALSE,,$0,1 SUI,24h,,FALSE,
circle-faucet-usdc,,!offer:circle-faucet-usdc,,testnet,,,,,1 USDC,,,,
n1-stake-faucet,,!offer:n1-stake-faucet,"[""[Faucet](https://faucet.n1stake.com/)""]",testnet,,,,,,,,,
stakely-faucet,,!offer:stakely-faucet,"[""[Faucet](https://stakely.io/faucet/sui-testnet-sui)""]",testnet,,,,,,,,,
sui-faucet,,!offer:sui-faucet,"[""[Faucet](https://faucet.sui.io/?network=testnet)""]",testnet,,,,,,,,,
suilearn-faucet,,!offer:suilearn-faucet,"[""[Faucet](https://faucet.suilearn.io/)""]",testnet,,,,,,,,,
