slug,provider,offer,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,credentialKey,selfHostedCommand,selfHostedArgs,selfHostedRequiredEnvVars,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
agenti,,!offer:agenti,"[""[Website](https://github.com/nirholas/agenti)"",""[Docs](https://github.com/nirholas/agenti#readme)""]",,,,,,,,,,,,,,,,,,,
alchemy-mcp-server,,!offer:alchemy-mcp-server,"[""[Website](https://www.alchemy.com/)"",""[Docs](https://www.alchemy.com/docs/alchemy-mcp-server)""]",,,,,,,,,,,,,,,,,,,
codex-mcp,,!offer:codex-mcp,"[""[Website](https://github.com/Codex-Data/codex-mcp)"",""[Docs](https://docs.codex.io/agents/docs-mcp)""]",,,,,,,,,,,,,,,,,,,
dexpaprika-mcp,,!offer:dexpaprika-mcp,"[""[Website](https://dexpaprika.com)"",""[Docs](https://docs.dexpaprika.com/introduction)""]",,,,,,,,,,,,,,,,,,,
misttrack-mcp,,!offer:misttrack-mcp,"[""[Website](https://github.com/slowmist/MistTrackMCP)"",""[Docs](https://docs.misttrack.io/openapi/overview)""]",,,,,,,,,,,,,,,,,,,
nansen-mcp,,!offer:nansen-mcp,"[""[Website](https://agents.nansen.ai/)"",""[Docs](https://docs.nansen.ai/mcp/connecting)""]",,,,,,,,,,,,,,,,,,,
nodit-mcp-server,,!offer:nodit-mcp-server,"[""[Website](https://github.com/noditlabs/nodit-mcp-server)"",""[Docs](https://developer.nodit.io/)""]",,,,,,,,,,,,,,,,,,,
nodit-remote-mcp,,!offer:nodit-remote-mcp,"[""[Website](https://github.com/noditlabs/nodit-mcp-server)"",""[Docs](https://developer.nodit.io/)""]",,,,,,,,,,,,,,,,,,,
tatum-blockchain-mcp,,!offer:tatum-blockchain-mcp,"[""[Website](https://tatum.io/mcp)"",""[Docs](https://docs.tatum.io)"",""[GitHub](https://github.com/tatumio/blockchain-mcp)""]",,,,,,,,,,,,,,,,,,,
universal-crypto-mcp,,!offer:universal-crypto-mcp,"[""[Website](https://github.com/nirholas/universal-crypto-mcp)"",""[Docs](https://github.com/nirholas/universal-crypto-mcp#readme)""]",,,,,,,,,,,,,,,,,,,
universal-crypto-mcp-http,,!offer:universal-crypto-mcp-http,"[""[Website](https://github.com/nirholas/universal-crypto-mcp)"",""[Docs](https://github.com/nirholas/universal-crypto-mcp#readme)""]",,,,,,,,,,,,,,,,,,,
