slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
ic-api-mainnet,,!offer:ic-api,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ic-metrics-api-mainnet,,!offer:ic-metrics-api,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
icp-ledger-api-mainnet,,!offer:icp-ledger-api,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
icrc-api-mainnet,,!offer:icrc-api,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
sns-api-mainnet,,!offer:sns-api,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
