slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
movement-explorer-mainnet,,!offer:movement-explorer,"[""[Explore](https://explorer.movementnetwork.xyz/?network=mainnet)"",""[Docs](https://docs.movementnetwork.xyz/devs/networkEndpoints)""]",mainnet,,,,,,,,,,,
movement-explorer-testnet,,!offer:movement-explorer,"[""[Explore](https://explorer.movementnetwork.xyz/?network=bardock+testnet)"",""[Docs](https://docs.movementnetwork.xyz/devs/networkEndpoints)""]",testnet,,,,,,,,,,,
