slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
aptos-python-sdk,,!offer:aptos-python-sdk,"[""[Docs](https://docs.movementnetwork.xyz/devs/interactonchain/pythonSDK)""]",,,,,,,,,,,,,,
aptos-rust-sdk,,!offer:aptos-rust-sdk,"[""[Docs](https://docs.movementnetwork.xyz/devs/interactonchain/rustSDK)""]",,,,,,,,,,,,,,
movement-cli,,!offer:movement-cli,"[""[Docs](https://docs.movementnetwork.xyz/devs/movementcli)""]",,,,,,,,,,,,,,
movement-typescript-sdk,,!offer:movement-typescript-sdk,"[""[Docs](https://docs.movementnetwork.xyz/devs/interactonchain/tsSdk)""]",,,,,,,,,,,,,,
