slug,provider,chain,technology,accessPrice,queryPrice,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,availableApis,monitoringAndAnalytics,additionalFeatures,auditsPerformed,starred,actionButtons
dia-mainnet,!provider:dia,mainnet,,,,,,,,,,,,,,"[""[Docs](https://www.diadata.org/docs/nexus/how-to-guides/fetch-price-data/chain-specific-guide/somnia#somnia)""]"
dia-testnet,!provider:dia,testnet,,,,,,,,,,,,,,"[""[Docs](https://www.diadata.org/docs/nexus/how-to-guides/fetch-price-data/chain-specific-guide/somnia#somnia)""]"
protofire-chainlink-mainnet,Protofire,mainnet,Chainlink,,,"[""Asset Prices"",""Randomness""]",Decentralized,TRUE,"Audited network, high TVL","[""TypeScript"",""Solidity""]","[""Price Feed"",""VRF"",""Proof of Reserve""]","[""Node performance metrics""]","[""Compatible with Chainlink decentralized nodes""]",,TRUE,"[""[Docs](https://docs.somnia.network/developer/how-to-guides/oracles/protofire-price-feeds)""]"
protofire-chainlink-testnet,Protofire,testnet,Chainlink ,,,"[""Asset Prices"",""Randomness""]",Decentralized,TRUE,"Audited network, high TVL","[""TypeScript"",""Solidity""]","[""Price Feed"",""VRF"",""Proof of Reserve""]","[""Node performance metrics""]","[""Compatible with Chainlink decentralized nodes""]",,TRUE,"[""[Docs](https://docs.somnia.network/developer/how-to-guides/oracles/protofire-chainlink-vrf-v2.5)""]"
