slug,provider,chain,address,technology,plan,trial,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons
chain-love-mainnet,!provider:chain-love-free,mainnet,,,,,,,,,,,,,,,,,,,,,"[""[Deploy](https://somnia.chain.love/graph)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/)""]"
chain-love-testnet,!provider:chain-love-free,testnet,,,,,,,,,,,,,,,,,,,,,"[""[Deploy](https://somnia.chain.love/graph)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/)""]"
dipdup-mainnet-free,!provider:dipdup-free,mainnet,,,,,,,,,,,,,,,,,,,,,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/somnia)""]"
dipdup-mainnet-enterprise,!provider:dipdup-enterprise,mainnet,,,,,,,,,,,,,,,,,,,,,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/somnia)""]"
dipdup-testnet-free,!provider:dipdup-free,testnet,,,,,,,,,,,,,,,,,,,,,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/somnia)""]"
dipdup-testnet-enterprise,!provider:dipdup-enterprise,testnet,,,,,,,,,,,,,,,,,,,,,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/somnia)""]"
goldsky-testnet-free,!provider:goldsky-free,testnet,,,,,,,,,,,,,,,,,,,,,"[""[Website](https://goldsky.com/chains/somnia)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]"
goldsky-testnet-pay-as-you-go,!provider:goldsky-pay-as-you-go,testnet,,,,,,,,,,,,,,,,,,,,,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]"
goldsky-testnet-enterprise,!provider:goldsky-enterprise,testnet,,,,,,,,,,,,,,,,,,,,,"[""[Contact](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]"
ormi-mainnet-free,!provider:ormi-free,mainnet,,,,,,,,,,,,,,,,,,,,,"[""[Website](https://ormilabs.com/chain-list/somnia)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]"
ormi-mainnet-pay-as-you-go,!provider:ormi-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,,,,,"[""[Buy](https://ormilabs.com/pricing)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]"
ormi-mainnet-enterprise,!provider:ormi-enterprise,mainnet,,,,,,,,,,,,,,,,,,,,,"[""[Contact](https://calendly.com/ormilabs)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]"
ormi-testnet-free,!provider:ormi-free,testnet,,,,,,,,,,,,,,,,,,,,,"[""[Website](https://ormilabs.com/chain-list/somnia)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]"
ormi-testnet-pay-as-you-go,!provider:ormi-pay-as-you-go,testnet,,,,,,,,,,,,,,,,,,,,,"[""[Buy](https://ormilabs.com/pricing)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]"
ormi-testnet-enterprise,!provider:ormi-enterprise,testnet,,,,,,,,,,,,,,,,,,,,,"[""[Contact](https://calendly.com/ormilabs)"",""[Docs](https://docs.ormilabs.com/dedicated-env/somnia/subgraphs/overview#supported-networks)""]"
