slug,provider,chain,technology,openSource,support,uptimeSla,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,txSpeedSla,throughputSla,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,actionButtons
layerzero-mainnet,LayerZero Labs,mainnet,Cross-chain Messaging,FALSE,"[""Discord"",""Email""]",null,TRUE,"[""Asset Transfer""]","[""Blockscout"",""Custom Dashboards""]","[""Omnichain Fungible Tokens"",""Cross-chain Governance""]","[""FLR"",""SGB"",""ERC-20"",""ERC-721""]",null,null,Gas Fee,TRUE,Over-collateralized messaging,[],Decentralized,"[""TypeScript""]","[""[Bridge](https://layerzero.network/)"", ""[Docs](https://docs.layerzero.network/)""]"
stargate-mainnet,LayerZero Labs,mainnet,Liquidity Transfer Protocol,FALSE,"[""Discord"",""Email""]",null,TRUE,"[""Asset Transfer""]","[""Blockscout"",""Custom Dashboards""]","[""Unified Liquidity Pools"",""Instant Finality""]","[""FLR"",""SGB"",""USDC"",""USDT"",""ETH""]",null,null,"Gas Fee, Protocol Fee",TRUE,Backed by LayerZero security,[],Decentralized,"[""TypeScript""]","[""[Bridge](https://stargate.finance/)"", ""[Docs](https://stargateprotocol.gitbook.io/)""]"
