slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
dune-mainnet-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/chains/astar)""]",mainnet,,,,,,,,,
dune-mainnet-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/chains/astar)""]",mainnet,,,,,,,,,
dune-mainnet-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/chains/astar)""]",mainnet,,,,,,,,,
messari-astar,,!offer:messari,"[""[Get tokens](https://messari.io/project/astar-network/network-metrics)""]",astar,,,,,,,,,
