slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicSecurity,economicSecurityNote,sdk,price,auditsPerformed,tag
acurast-astar,,!offer:acurast,,astar,,,,,,,,,,,,,
band-astar,,!offer:band,,astar,,,,,,,,,,,,,
band-shibuya,,!offer:band,,shibuya,,,,,,,,,,,,,
band-shiden,,!offer:band,,shiden,,,,,,,,,,,,,
dia-astar,,!offer:dia,,astar,,TRUE,,,,,,,,,,,
dia-shibuya,,!offer:dia,,shibuya,,TRUE,,,,,,,,,,,
dia-shiden,,!offer:dia,,shiden,,TRUE,,,,,,,,,,,
