slug,provider,offer,actionButtons,tag,description,planType,planName,price,trial,starred,toolType,deliveryType,executionEnvironment,coverage,compliance
audit-base-pay-as-you-go,,!offer:audit-base-pay-as-you-go,,,,,,,,,,,,,
audit-base-pro,,!offer:audit-base-pro,,,,,,,,,,,,,
audit-base-starter,,!offer:audit-base-starter,,,,,,,,,,,,,
audit-base-team,,!offer:audit-base-team,,,,,,,,,,,,,
zk-snarks,Zcash,,"[""[Website](https://z.cash/learn/what-are-zk-snarks/)""]","[""Proof construction"",""Zero-knowledge cryptography"",""Shielded transactions""]",The core privacy technology powering Zcash's shielded transactions,Free,,$0,FALSE,FALSE,Tool,Zero-knowledge cryptography,,"[""transactions""]",
