slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,price,auditsPerformed,deliveryType,tag,supportedFiatCurrencies,countryAvailabilityMode,supportedCountries
banxa,,!offer:banxa,"[""[Docs](https://docs.banxa.com/docs/overview)""]",,,,,,,,,,,
meld,,!offer:meld,"[""[Docs](https://www.meld.io/coverage/cryptocurrencies?cryptoCurrencies=ZEC)""]",,,,,,,,,,,
