slug,provider,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,actionButtons
solana-devnet-faucet,Solana,testnet,TRUE,TRUE,,$0,0.5/1/2.5/5 SOL,8h,"[""Requires GitHub authentification"",""Maximum 2 requests per 8 hours""]",FALSE,"[""[Faucet](https://faucet.solana.com/)""]"
quicknode-faucet,!provider:quicknode-faucet,testnet,,,0.05 SOL,,0.05 SOL,,,,"[""[Faucet](https://faucet.quicknode.com/solana/testnet)""]"
chainstack-faucet,!provider:chainstack-faucet,devnet,,,0.08 SOL,,Up to 1 SOL,,,,"[""[Faucet](https://faucet.chainstack.com/solana-devnet-faucet)""]"
ghost-faucet,!provider:ghost-faucet,testnet,,,,,0.01 SOL,,,,"[""[Faucet](https://ghostchain.io/faucet/solana-testnet/)""]"
