slug,provider,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred
blockworks-mainnet,!provider:blockworks,"[""[Dashboard](https://blockworks.com/analytics/solana)""]",mainnet,,,,,,,
cryptoquant-mainnet,!provider:cryptoquant,"[""[Dashboard](https://cryptoquant.com/asset/sol/summary)""]",mainnet,,,,,,,
dappradar-mainnet,!provider:dappradar,"[""[Dashboard](https://dappradar.com/chain/solana)""]",mainnet,,,,,,,
defillama-mainnet,!provider:defillama,"[""[Dashboard](https://defillama.com/chain/solana)""]",mainnet,,,,,,,
dexscreener-mainnet,!provider:dexscreener,"[""[Dashboard](https://dexscreener.com/solana)""]",mainnet,,,,,,,
dune-mainnet,!provider:dune,"[""[Dashboard](https://dune.com/blockchains/solana)""]",mainnet,,,,,,,
glassnode-mainnet,!provider:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=SOL)""]",mainnet,,,,,,,
messari-mainnet,!provider:messari,"[""[Dashboard](https://messari.io/project/solana)""]",mainnet,,,,,,,
nansen-mainnet,!provider:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=solana)""]",mainnet,,,,,,,
bubblemaps-mainnet,!provider:bubblemaps,"[""[Dashboard](https://v2.bubblemaps.io/solana)""]",mainnet,,,,,,,
coinglass-mainnet,!provider:coinglass,"[""[Dashboard](https://www.coinglass.com/currencies/SOL)""]",mainnet,,,,,,,
artemis-mainnet,!provider:artemis,"[""[Dashboard](https://app.artemisanalytics.com/asset/solana?tab=overview)""]",mainnet,,,,,,,
