slug,provider,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed
chainlink-mainnet,!provider:chainlink,"[""[Docs](https://docs.chain.link/ccip/directory/mainnet/chain/solana-mainnet)""]",mainnet,,,,,,,,,,,
chainlink-devnet,!provider:chainlink,"[""[Docs](https://docs.chain.link/ccip/directory/testnet/chain/solana-devnet)""]",devnet,,,,,,,,,,,
dia-mainnet,!provider:dia,"[""[Docs](https://www.diadata.org/ecosystem/#blockchains)""]",mainnet,,,,,,,,,,,
pyth-mainnet,!provider:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/solana)""]",mainnet,,,,,,,,,,,
pyth-devnet,!provider:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/solana)""]",devnet,,,,,,,,,,,
redstone-mainnet,!provider:redstone,"[""[Website](https://app.redstone.finance/app/feeds/?page=1&sortBy=popularity&sortDesc=false&perPage=32&networks=solana%252F1)""]",mainnet,,,,,,,,,,,
redstone-devnet,!provider:redstone,"[""[Website](https://app.redstone.finance/app/feeds/?page=1&sortBy=popularity&sortDesc=false&perPage=32&networks=solana%252F3)""]",devnet,,,,,,,,,,,
switchboard-mainnet,!provider:switchboard,"[""[Docs](https://docs.switchboard.xyz/docs-by-chain/solana-svm)""]",mainnet,,,,,,,,,,,
switchboard-devnet,!provider:switchboard,"[""[Docs](https://docs.switchboard.xyz/docs-by-chain/solana-svm)""]",devnet,,,,,,,,,,,
