slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla,chainId
1rpc-op-mainnet-developer-recent-state,,!offer:1rpc-developer-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,10
1rpc-op-mainnet-personal-recent-state,,!offer:1rpc-personal-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,10
1rpc-op-mainnet-public-recent-state,,!offer:1rpc-public-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,10
1rpc-op-mainnet-starter-recent-state,,!offer:1rpc-starter-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,10
alchemy-op-mainnet-free,,!offer:alchemy-free-recent-state,"[""[Send Requests](https://opt-mainnet.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,,10
alchemy-op-mainnet-pay-as-you-go,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Send Requests](https://opt-mainnet.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,,10
alchemy-op-sepolia-free,,!offer:alchemy-free-recent-state,"[""[Send Requests](https://opt-sepolia.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,,10
alchemy-op-sepolia-pay-as-you-go,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Send Requests](https://opt-sepolia.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,,10
allthatnode-mainnet-dedicated-full-archive,,!offer:allthatnode-dedicated-full-archive,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-2)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,,10
allthatnode-mainnet-dedicated-recent-state,,!offer:allthatnode-dedicated-recent-state,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-2)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,,10
allthatnode-op-mainnet-free-full-archive,,!offer:allthatnode-free-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,10
allthatnode-op-mainnet-free-recent-state,,!offer:allthatnode-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,10
allthatnode-op-mainnet-scale-full-archive,,!offer:allthatnode-scale-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,10
allthatnode-op-mainnet-scale-recent-state,,!offer:allthatnode-scale-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,10
allthatnode-op-mainnet-starter-full-archive,,!offer:allthatnode-starter-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,10
