slug,provider,chain,dataSources,hasDashboard,availableApis,price,starred,actionButtons
dune-mainnet,!provider:dune,mainnet,,,,,,"[""[Dashboard](https://dune.com/blockchains/aptos)""]"
messari-mainnet,!provider:messari,mainnet,,,,,,"[""[Dashboard](https://messari.io/project/aptos)""]"
nansen-mainnet,!provider:nansen,mainnet,,,,,,"[""[Dashboard](https://app.nansen.ai/macro/blockchains?chain=aptos)""]"
