slug,provider,actionButtons,chain,address,technology,plan,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,additionalFeatures,regions
aptos-indexer-mainnet-free,Aptos,"[""[Docs](https://aptos.dev/build/indexer)""]",mainnet,null,Custom,Free,$0,$0,NULL,NULL,NULL,,,,,FALSE,FALSE,,"[""Rate limits"",""Limited Customization""]","[""On-chain governance"",""Decentralized validator system"",""Compliance and security standards"",""Parallel execution and modular architecture""]","[""Real-time tracking"",""Historical analysis"",""Performance reporting""]","[""Custom Contract Indexing"",""Transaction Stream Service"",""Legacy Indexer Support""]","[""USA"",""Germany"",""Singapore""]"
aptos-indexer-testnet-free,Aptos,"[""[Docs](https://aptos.dev/build/indexer)""]",testnet,null,Custom,Free,$0,$0,NULL,NULL,NULL,,,,,FALSE,FALSE,,"[""Rate limits"",""Limited Customization""]","[""On-chain governance"",""Decentralized validator system"",""Compliance and security standards"",""Parallel execution and modular architecture""]","[""Real-time tracking"",""Historical analysis"",""Performance reporting""]","[""Custom Contract Indexing"",""Transaction Stream Service"",""Legacy Indexer Support""]","[""USA"",""Germany"",""Singapore""]"
chainstack-mainnet-free,!provider:chainstack-free,"[""[Website](https://chainstack.com/protocols/aptos/)"",""[Docs](https://docs.chainstack.com/docs/nodes-clouds-regions-and-locations#aptos)""]",mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-pay-as-you-go,!provider:chainstack-pay-as-you-go,"[""[Buy](https://chainstack.com/subgraphs/)"",""[Docs](https://docs.chainstack.com/docs/nodes-clouds-regions-and-locations#aptos)""]",mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-enterprise,!provider:chainstack-enterprise,"[""[Contact](https://console.chainstack.com/user/account#login)"",""[Docs](https://docs.chainstack.com/docs/nodes-clouds-regions-and-locations#aptos)""]",mainnet,,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-free,!provider:indexing-co-free,"[""[Docs](https://docs.indexing.co/networks/aptos)""]",mainnet,,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-pay-as-you-go,!provider:indexing-co-pay-as-you-go,"[""[Docs](https://docs.indexing.co/networks/aptos)""]",mainnet,,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-enterprise,!provider:indexing-co-enterprise,"[""[Docs](https://docs.indexing.co/networks/aptos)""]",mainnet,,,,,,,,,,,,,,,,,,,,
moralis-mainnet-indexer-free,!provider:moralis-mainnet-indexer-free,"[""[Website](https://moralis.com/data-indexer/)"",""[Website](https://moralis.com/pricing/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
moralis-mainnet-indexer-starter,!provider:moralis-mainnet-indexer-starter,"[""[Website](https://moralis.com/data-indexer/)"",""[Website](https://moralis.com/pricing/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
moralis-mainnet-indexer-pro,!provider:moralis-mainnet-indexer-pro,"[""[Website](https://moralis.com/data-indexer/)"",""[Website](https://moralis.com/pricing/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
moralis-mainnet-indexer-business,!provider:moralis-mainnet-indexer-business,"[""[Website](https://moralis.com/data-indexer/)"",""[Website](https://moralis.com/pricing/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
moralis-mainnet-indexer-enterprise,!provider:moralis-mainnet-indexer-enterprise,"[""[Website](https://moralis.com/data-indexer/)"",""[Website](https://moralis.com/pricing/)""]",mainnet,,,,,,,,,,,,,,,,,,,,
moralis-testnet-indexer-free,!provider:moralis-testnet-indexer-free,"[""[Website](https://moralis.com/data-indexer/)"",""[Website](https://moralis.com/pricing/)""]",testnet,,,,,,,,,,,,,,,,,,,,
moralis-testnet-indexer-starter,!provider:moralis-testnet-indexer-starter,"[""[Website](https://moralis.com/data-indexer/)"",""[Website](https://moralis.com/pricing/)""]",testnet,,,,,,,,,,,,,,,,,,,,
moralis-testnet-indexer-pro,!provider:moralis-testnet-indexer-pro,"[""[Website](https://moralis.com/data-indexer/)"",""[Website](https://moralis.com/pricing/)""]",testnet,,,,,,,,,,,,,,,,,,,,
moralis-testnet-indexer-business,!provider:moralis-testnet-indexer-business,"[""[Website](https://moralis.com/data-indexer/)"",""[Website](https://moralis.com/pricing/)""]",testnet,,,,,,,,,,,,,,,,,,,,
moralis-testnet-indexer-enterprise,!provider:moralis-testnet-indexer-enterprise,"[""[Website](https://moralis.com/data-indexer/)"",""[Website](https://moralis.com/pricing/)""]",testnet,,,,,,,,,,,,,,,,,,,,
