slug,provider,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,actionButtons
stakely-faucet,!provider:stakely-faucet,mainnet,,,,,0.00088 APT,,,,"[""[Faucet](https://stakely.io/faucet/aptos-apt)""]"
circle-faucet-usdc,!provider:circle-faucet-usdc,testnet,,,,,1 USDC,,,,
