slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
chainlink-mainnet,,!offer:chainlink,"[""[Data Streams](https://docs.chain.link/data-streams/supported-networks?streamsNetwork=mega)"",""[Data Feeds](https://docs.chain.link/data-feeds/price-feeds/addresses?network=MegaETH)"",""[MegaETH Docs](https://docs.megaeth.com/developer-docs/tooling)""]",mainnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[Contracts](https://docs.pyth.network/price-feeds/core/contract-addresses/evm)"",""[MegaETH Docs](https://docs.megaeth.com/developer-docs/tooling)""]",mainnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Feeds](https://app.redstone.finance/app/feeds/?networks=4326)"",""[MegaETH Docs](https://docs.megaeth.com/developer-docs/tooling)""]",mainnet,,,,,,,,,,,,
stork-mainnet,,!offer:stork,"[""[Contracts](https://docs.stork.network/resources/contract-addresses/evm)"",""[MegaETH Docs](https://docs.megaeth.com/developer-docs/tooling)""]",mainnet,,,,,,,,,,,,
