slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
halliday,,!offer:halliday,"[""[Website](https://halliday.xyz/)"",""[Docs](https://docs.halliday.xyz/)"",""[MegaETH Docs](https://docs.megaeth.com/developer-docs/tooling)""]",,,,,,,
meridian,,!offer:meridian,"[""[Website](https://mrdn.finance/)"",""[Docs](https://docs.mrdn.finance/)"",""[MegaETH Docs](https://docs.megaeth.com/developer-docs/tooling)""]",,,,,,,
ramp-network,,!offer:ramp-network,"[""[Website](https://ramp.network/)"",""[Docs](https://docs.ramp.network/)"",""[MegaETH Docs](https://docs.megaeth.com/developer-docs/tooling)""]",,,,,,,
transak,,!offer:transak,"[""[Website](https://transak.com/)"",""[Docs](https://docs.transak.com/)"",""[MegaETH Docs](https://docs.megaeth.com/developer-docs/tooling)""]",,,,,,,
