slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3,,!offer:api3,"[""[Docs](https://docs.api3.org)""]",mainnet,,,,,,,,,,,,
chainlink,,!offer:chainlink,"[""[Docs](https://docs.chain.link)""]",mainnet,,,,,,,,,,,,
dia,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/home)""]",mainnet,,,,,,,,,,,,
pyth,,!offer:pyth,"[""[Docs](https://docs.pyth.network)""]",mainnet,,,,,,,,,,,,
redstone,,!offer:redstone,"[""[Docs](https://docs.redstone.finance)""]",mainnet,,,,,,,,,,,,
supra,,!offer:supra,"[""[Docs](https://docs.supra.com/oracles)""]",mainnet,,,,,,,,,,,,
