slug,provider,offer,actionButtons,toolType,description,tag,planType,planName,price,trial,availableApis,executionEnvironment
4everland-free,,!offer:4everland-free,"[""[Website](https://www.4everland.org/)""]",,,,,,,,,
4everland-pay-as-you-go,,!offer:4everland-pay-as-you-go,"[""[Docs](https://docs.4everland.org/get-started/billing-and-pricing/pricing-model)""]",,,,,,,,,
dynamic-growth,,!offer:dynamic-growth,,,,,,,,,,
dynamic-launch,,!offer:dynamic-launch,,,,,,,,,,
openfort-growth,,!offer:openfort-growth,"[""[Buy](https://www.openfort.io/pricing)""]",,,,,,,,,
openfort-starter,,!offer:openfort-starter,"[""[Website](https://openfort.xyz/)""]",,,,,,,,,
thirdweb-growth,,!offer:thirdweb-growth,,,,,,,,,,
thirdweb-pro,,!offer:thirdweb-pro,,,,,,,,,,
thirdweb-scale,,!offer:thirdweb-scale,,,,,,,,,,
thirdweb-starter,,!offer:thirdweb-starter,,,,,,,,,,
