slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
guardarian,,!offer:guardarian,"[""[Buy TAO](https://guardarian.com/buy-tao)""]",,,,,,,
topper,,!offer:topper,"[""[Website](https://www.topperpay.com/en-gb/digital-assets)""]",,,,,,,
