slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
guardarian,,!offer:guardarian,"[""[Buy](https://guardarian.com/buy-luna)""]",,,,,,,
transak,,!offer:transak,"[""[Buy](https://global.transak.com/)""]",,,,,,,
