slug,provider,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
blueprint-func,Blueprint,"[""[Website](https://github.com/ton-org/blueprint)""]",Framework,FunC,"[""Smart Contract Framework"",""Tact"",""FunC"",""Testing""]","The official development environment for writing, testing, and deploying smart contracts on TON. Similar to Hardhat but for the TVM",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
blueprint-tact,Blueprint,"[""[Website](https://github.com/ton-org/blueprint)""]",Framework,Tact,"[""Smart Contract Framework"",""Tact"",""FunC"",""Testing""]","The official development environment for writing, testing, and deploying smart contracts on TON. Similar to Hardhat but for the TVM",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
blueprint-tolk,Blueprint,"[""[Website](https://github.com/ton-org/blueprint)""]",Framework,Tolk,"[""Smart Contract Framework"",""Tact"",""FunC"",""Testing""]","The official development environment for writing, testing, and deploying smart contracts on TON. Similar to Hardhat but for the TVM",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
fift-lang,Fift,"[""[Docs](https://blog.ton.org/introduction-to-fift)""]",Programming language,Fift,"[""Smart Contracts"",""Language"",""Low-Level"",""TVM""]","A low-level stack-based programming language for the TON Virtual Machine (TVM), primarily used for tooling, scripts, and advanced contract development",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
func-lang,FunC,"[""[Docs](https://docs.ton.org/develop/func/overview)""]",SDK,FunC,"[""Smart Contracts"",""Language"",""Low-Level""]","The lower-level, C-like programming language used to write raw smart contracts for the TON Virtual Machine (TVM)",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
quicknode-sdk-enterprise,!provider:quicknode-sdk-enterprise,,,,,,,,,,,,,,,
quicknode-sdk-accelerate,!provider:quicknode-sdk-accelerate,,,,,,,,,,,,,,,
quicknode-sdk-build,!provider:quicknode-sdk-build,,,,,,,,,,,,,,,
quicknode-sdk-business,!provider:quicknode-sdk-business,,,,,,,,,,,,,,,
quicknode-sdk-scale,!provider:quicknode-sdk-scale,,,,,,,,,,,,,,,
tact-lang,Tact,"[""[Website](https://tact-lang.org/)"",""[Docs](https://docs.tact-lang.org/)""]",SDK,Tact,"[""Smart Contracts"",""Language"",""High-Level""]","A new, high-level programming language for TON smart contracts that is strongly typed and designed to be familiar to TypeScript/Rust developers",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
ton-connect-sdk,TonConnect SDK,"[""[Website](https://ton-connect.github.io/sdk/)""]",SDK,TypeScript,"[""Wallet Connect"",""Frontend"",""Authentication""]","The standard protocol and SDK for connecting TON wallets to decentralized applications (dApps), replacing standard WalletConnect in the TON ecosystem",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
