slug,provider,actionButtons,chain,txSpeedSla,throughputSla,technology,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains
ton-bridge,!provider:ton-bridge,,mainnet,,,,,,FALSE,,,,,,,,,,,
asterizm,!provider:asterizm,,mainnet,,,,,,FALSE,,,,,,,,,,,
chainspot,!provider:chainspot,,mainnet,,,,,,FALSE,,,,,,,,,,,
layerswap,!provider:layerswap,,mainnet,,,,,,FALSE,,,,,,,,,,,
orbiter,!provider:orbiter,,mainnet,,,,,,FALSE,,,,,,,,,,,
rubic,!provider:rubic,,mainnet,,,,,,FALSE,,,,,,,,,,,
stargate,!provider:stargate,,mainnet,,,,,,FALSE,,,,,,,,,,,
symbiosis,!provider:stargate,,mainnet,,,,,,FALSE,,,,,,,,,,,
defiway-bridge,!provider:defiway-bridge,,mainnet,,,,,,FALSE,,,,,,,,,,,
