slug,provider,offer,actionButtons,chain,toolType,tag,price,planName,planType,description,starred
jetbrains-intellij-ton,,!offer:jetbrains-intellij-ton,,mainnet,,,,,,,
orbs-ton-access,,!offer:orbs-ton-access,,mainnet,,,,,,,
ton-lite-client,,!offer:ton-lite-client,,mainnet,,,,,,,
ton-sandbox,,!offer:ton-sandbox,,mainnet,,,,,,,
toncli,,!offer:toncli,,mainnet,,,,,,,
